URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/184522/paper-rex-vs-drx-champions-tour-2023-pacific-league-playoffs-gf,AllMaps,Paper Rex,3,59,Kiwoom DRX,2,46,Paper Rex
https://www.vlr.gg/184456/zeta-division-vs-drx-champions-tour-2023-pacific-league-w1,Ascent,ZETA DIVISION,,5,Kiwoom DRX,,13,Kiwoom DRX
https://www.vlr.gg/184456/zeta-division-vs-drx-champions-tour-2023-pacific-league-w1,Pearl,ZETA DIVISION,,5,Kiwoom DRX,,13,Kiwoom DRX
https://www.vlr.gg/184456/zeta-division-vs-drx-champions-tour-2023-pacific-league-w1,AllMaps,ZETA DIVISION,0,10,Kiwoom DRX,2,26,Kiwoom DRX
https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1,Pearl,T1,,13,Global Esports,,8,T1
https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1,Haven,T1,,4,Global Esports,,13,Global Esports
https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1,Lotus,T1,,13,Global Esports,,7,T1
https://www.vlr.gg/184457/t1-vs-global-esports-champions-tour-2023-pacific-league-w1,AllMaps,T1,2,30,Global Esports,1,28,T1
https://www.vlr.gg/184458/paper-rex-vs-detonation-focusme-champions-tour-2023-pacific-league-w1,Pearl,Paper Rex,,13,DetonatioN FocusMe,,5,Paper Rex
https://www.vlr.gg/184458/paper-rex-vs-detonation-focusme-champions-tour-2023-pacific-league-w1,Lotus,Paper Rex,,13,DetonatioN FocusMe,,11,Paper Rex
https://www.vlr.gg/184458/paper-rex-vs-detonation-focusme-champions-tour-2023-pacific-league-w1,AllMaps,Paper Rex,2,26,DetonatioN FocusMe,0,16,Paper Rex
https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1,Ascent,Team Secret,,13,TALON,,5,Team Secret
https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1,Icebox,Team Secret,,8,TALON,,13,TALON
https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1,Fracture,Team Secret,,13,TALON,,3,Team Secret
https://www.vlr.gg/184459/team-secret-vs-talon-esports-champions-tour-2023-pacific-league-w1,AllMaps,Team Secret,2,34,TALON,1,21,Team Secret
https://www.vlr.gg/184460/rex-regum-qeon-vs-gen-g-champions-tour-2023-pacific-league-w1,Fracture,Rex Regum Qeon,,9,Gen.G,,13,Gen.G
https://www.vlr.gg/184460/rex-regum-qeon-vs-gen-g-champions-tour-2023-pacific-league-w1,Lotus,Rex Regum Qeon,,6,Gen.G,,13,Gen.G
https://www.vlr.gg/184460/rex-regum-qeon-vs-gen-g-champions-tour-2023-pacific-league-w1,AllMaps,Rex Regum Qeon,0,15,Gen.G,2,26,Gen.G
https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2,Haven,ZETA DIVISION,,10,Rex Regum Qeon,,13,Rex Regum Qeon
https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2,Ascent,ZETA DIVISION,,13,Rex Regum Qeon,,10,ZETA DIVISION
https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2,Lotus,ZETA DIVISION,,13,Rex Regum Qeon,,5,ZETA DIVISION
https://www.vlr.gg/184461/zeta-division-vs-rex-regum-qeon-champions-tour-2023-pacific-league-w2,AllMaps,ZETA DIVISION,2,36,Rex Regum Qeon,1,28,ZETA DIVISION
https://www.vlr.gg/184462/talon-esports-vs-t1-champions-tour-2023-pacific-league-w2,Ascent,TALON,,8,T1,,13,T1
https://www.vlr.gg/184462/talon-esports-vs-t1-champions-tour-2023-pacific-league-w2,Haven,TALON,,6,T1,,13,T1
https://www.vlr.gg/184462/talon-esports-vs-t1-champions-tour-2023-pacific-league-w2,AllMaps,TALON,0,14,T1,2,26,T1
https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2,Haven,Team Secret,,11,Paper Rex,,13,Paper Rex
https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2,Fracture,Team Secret,,13,Paper Rex,,11,Team Secret
https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2,Split,Team Secret,,13,Paper Rex,,10,Team Secret
https://www.vlr.gg/184463/team-secret-vs-paper-rex-champions-tour-2023-pacific-league-w2,AllMaps,Team Secret,2,37,Paper Rex,1,34,Team Secret
https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2,Lotus,Gen.G,,13,DetonatioN FocusMe,,8,Gen.G
https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2,Fracture,Gen.G,,4,DetonatioN FocusMe,,13,DetonatioN FocusMe
https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2,Pearl,Gen.G,,13,DetonatioN FocusMe,,8,Gen.G
https://www.vlr.gg/184465/gen-g-vs-detonation-focusme-champions-tour-2023-pacific-league-w2,AllMaps,Gen.G,2,30,DetonatioN FocusMe,1,29,Gen.G
https://www.vlr.gg/184466/global-esports-vs-drx-champions-tour-2023-pacific-league-w2,Haven,Global Esports,,11,Kiwoom DRX,,13,Kiwoom DRX
https://www.vlr.gg/184466/global-esports-vs-drx-champions-tour-2023-pacific-league-w2,Split,Global Esports,,15,Kiwoom DRX,,17,Kiwoom DRX
https://www.vlr.gg/184466/global-esports-vs-drx-champions-tour-2023-pacific-league-w2,AllMaps,Global Esports,0,26,Kiwoom DRX,2,30,Kiwoom DRX
https://www.vlr.gg/184467/rex-regum-qeon-vs-detonation-focusme-champions-tour-2023-pacific-league-w3,Haven,Rex Regum Qeon,,13,DetonatioN FocusMe,,4,Rex Regum Qeon
https://www.vlr.gg/184467/rex-regum-qeon-vs-detonation-focusme-champions-tour-2023-pacific-league-w3,Pearl,Rex Regum Qeon,,13,DetonatioN FocusMe,,7,Rex Regum Qeon
