URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/183946/fnatic-vs-team-heretics-champions-tour-2023-emea-league-w2,Icebox,FNATIC,,13,Team Heretics,,3,FNATIC
https://www.vlr.gg/183946/fnatic-vs-team-heretics-champions-tour-2023-emea-league-w2,Ascent,FNATIC,,13,Team Heretics,,6,FNATIC
https://www.vlr.gg/183946/fnatic-vs-team-heretics-champions-tour-2023-emea-league-w2,AllMaps,FNATIC,2,26,Team Heretics,0,9,FNATIC
https://www.vlr.gg/183947/team-liquid-vs-karmine-corp-champions-tour-2023-emea-league-w2,Ascent,Team Liquid,,13,Karmine Corp,,5,Team Liquid
https://www.vlr.gg/183947/team-liquid-vs-karmine-corp-champions-tour-2023-emea-league-w2,Split,Team Liquid,,13,Karmine Corp,,2,Team Liquid
https://www.vlr.gg/183947/team-liquid-vs-karmine-corp-champions-tour-2023-emea-league-w2,AllMaps,Team Liquid,2,26,Karmine Corp,0,7,Team Liquid
https://www.vlr.gg/183948/koi-vs-giants-gaming-champions-tour-2023-emea-league-w2,Lotus,KOI,,1,Giants Gaming,,13,Giants Gaming
https://www.vlr.gg/183948/koi-vs-giants-gaming-champions-tour-2023-emea-league-w2,Ascent,KOI,,11,Giants Gaming,,13,Giants Gaming
https://www.vlr.gg/183948/koi-vs-giants-gaming-champions-tour-2023-emea-league-w2,AllMaps,KOI,0,12,Giants Gaming,2,26,Giants Gaming
https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,Pearl,Natus Vincere,,13,Team Heretics,,3,Natus Vincere
https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,Lotus,Natus Vincere,,9,Team Heretics,,13,Team Heretics
https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,Ascent,Natus Vincere,,13,Team Heretics,,2,Natus Vincere
https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,AllMaps,Natus Vincere,2,35,Team Heretics,1,18,Natus Vincere
https://www.vlr.gg/183950/koi-vs-fut-esports-champions-tour-2023-emea-league-w3,Ascent,KOI,,9,FUT Esports,,13,FUT Esports
https://www.vlr.gg/183950/koi-vs-fut-esports-champions-tour-2023-emea-league-w3,Icebox,KOI,,6,FUT Esports,,13,FUT Esports
https://www.vlr.gg/183950/koi-vs-fut-esports-champions-tour-2023-emea-league-w3,AllMaps,KOI,0,15,FUT Esports,2,26,FUT Esports
https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3,Lotus,Team Liquid,,6,FNATIC,,13,FNATIC
https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3,Haven,Team Liquid,,6,FNATIC,,13,FNATIC
https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3,AllMaps,Team Liquid,0,12,FNATIC,2,26,FNATIC
https://www.vlr.gg/183952/giants-gaming-vs-bbl-esports-champions-tour-2023-emea-league-w3,Icebox,Giants Gaming,,13,BBL Esports,,10,Giants Gaming
https://www.vlr.gg/183952/giants-gaming-vs-bbl-esports-champions-tour-2023-emea-league-w3,Split,Giants Gaming,,13,BBL Esports,,3,Giants Gaming
https://www.vlr.gg/183952/giants-gaming-vs-bbl-esports-champions-tour-2023-emea-league-w3,AllMaps,Giants Gaming,2,26,BBL Esports,0,13,Giants Gaming
https://www.vlr.gg/183953/team-vitality-vs-karmine-corp-champions-tour-2023-emea-league-w3,Ascent,Team Vitality,,13,Karmine Corp,,2,Team Vitality
https://www.vlr.gg/183953/team-vitality-vs-karmine-corp-champions-tour-2023-emea-league-w3,Split,Team Vitality,,13,Karmine Corp,,6,Team Vitality
