URL,Mapa_Num,Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,1,AllMaps,artzin,FUR,Kayo,1.31,221,52,34,27,18,76,139,29,7,5,2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,1,AllMaps,koalanoob,FUR,Chamber,1.27,271,61,40,16,21,74,168,20,15,7,8
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,1,AllMaps,alym,FUR,Neon,0.98,208,45,38,14,7,73,127,27,13,5,8
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,1,AllMaps,eeiu,FUR,Fade,0.95,166,39,32,20,7,81,113,34,2,4,-2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,1,AllMaps,nerve,FUR,Astra,0.9,158,33,37,25,-4,74,109,27,0,4,-4
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,NagZ,KRÜ,Chamber,1.26,198,15,12,2,3,62,149,20,4,2,2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,mta,KRÜ,Kayo,1.09,181,12,13,9,-1,67,116,38,1,1,0
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,infiltrator,KRÜ,Jett,0.73,162,11,17,4,-6,62,106,26,3,5,-2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,Governor,KRÜ,Sova,0.67,146,10,17,3,-7,52,104,36,0,3,-3
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,benG,KRÜ,Viper,0.67,137,11,17,2,-6,52,85,43,0,2,-2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,artzin,FUR,Astra,1.43,251,22,11,3,11,71,153,33,2,0,2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,alym,FUR,Yoru,1.23,235,18,11,5,7,76,155,35,6,3,3
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,koalanoob,FUR,Jett,1.04,244,18,15,3,3,76,144,16,4,2,2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,eeiu,FUR,Sova,0.89,140,10,10,6,0,76,102,25,1,1,0
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,2,Breeze,nerve,FUR,Viper,0.73,119,8,12,7,-4,67,84,10,0,2,-2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,infiltrator,KRÜ,Yoru,1.31,282,18,15,3,3,89,185,32,2,1,1
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,mta,KRÜ,Kayo,0.77,158,8,14,8,-6,67,104,27,1,2,-1
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,Governor,KRÜ,Sova,0.69,104,7,13,5,-6,56,80,50,1,2,-1
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,NagZ,KRÜ,Chamber,0.64,131,8,16,4,-8,67,91,28,2,3,-1
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,benG,KRÜ,Omen,0.45,119,6,15,5,-9,67,81,32,1,3,-2
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,alym,FUR,Waylay,1.32,245,16,9,5,7,72,142,17,4,0,4
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,koalanoob,FUR,Omen,1.3,278,18,13,9,5,83,171,30,4,3,1
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,artzin,FUR,Astra,1.27,178,12,8,9,4,78,110,35,2,2,0
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,eeiu,FUR,Sova,1.06,183,13,10,6,3,89,120,50,1,1,0
https://www.vlr.gg/596400/kr-esports-vs-furia-vct-2026-americas-kickoff-ur1,3,Abyss,nerve,FUR,Tejo,1.0,194,13,11,4,2,78,135,32,0,1,-1
