Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,trent,G2,Skye,0.99,175.0,36,43,20,-7,67.0,128.0,26.0,3.0,4.0,-1.0,G2,29,100T,32,1,0.559,0.37,0.929
AllMaps,valyn,G2,Brimstone,0.92,189.0,40,44,12,-4,72.0,116.0,24.0,5.0,4.0,1.0,G2,29,100T,32,1,0.563,0.389,0.951
AllMaps,jawgemo,G2,Waylay,0.62,155.0,32,52,14,-20,57.0,109.0,20.0,7.0,16.0,-9.0,G2,29,100T,32,1,0.489,0.302,0.791
AllMaps,Cryocells,100T,Chamber,1.37,266.0,61,37,8,24,80.0,179.0,28.0,7.0,5.0,2.0,G2,29,100T,32,0,0.829,0.447,1.276
AllMaps,bang,100T,Viper,1.14,192.0,42,37,24,5,79.0,125.0,43.0,4.0,4.0,0.0,G2,29,100T,32,0,0.751,0.415,1.166
AllMaps,Asuna,100T,Brimstone,1.04,194.0,40,39,27,1,77.0,116.0,20.0,7.0,2.0,5.0,G2,29,100T,32,0,0.647,0.423,1.07
AllMaps,vora,100T,Skye,1.04,223.0,45,42,15,3,79.0,148.0,31.0,9.0,4.0,5.0,G2,29,100T,32,0,0.727,0.426,1.153
AllMaps,Timotino,100T,Waylay,0.73,189.0,38,47,9,-9,62.0,123.0,25.0,8.0,11.0,-3.0,G2,29,100T,32,0,0.534,0.322,0.855
AllMaps,Eggsterr,ENVY,Yoru,1.2,240.0,63,43,9,20,73.0,144.0,29.0,8.0,5.0,3.0,ENVY,35,EG,32,1,0.777,0.433,1.21
AllMaps,Inspire,ENVY,Viper,1.1,224.0,53,45,11,8,69.0,142.0,33.0,8.0,9.0,-1.0,ENVY,35,EG,32,1,0.762,0.385,1.148
AllMaps,Rossy,ENVY,Omen,1.09,206.0,49,44,23,5,76.0,133.0,28.0,5.0,1.0,4.0,ENVY,35,EG,32,1,0.741,0.435,1.176
AllMaps,keznit,ENVY,Iso,0.96,185.0,43,45,14,-2,78.0,124.0,35.0,8.0,11.0,-3.0,ENVY,35,EG,32,1,0.614,0.373,0.987
AllMaps,P0PPIN,ENVY,Sova,0.62,121.0,27,46,18,-19,70.0,80.0,21.0,5.0,7.0,-2.0,ENVY,35,EG,32,1,0.455,0.328,0.783
AllMaps,dgzin,EG,Yoru,1.04,206.0,50,47,11,3,64.0,136.0,31.0,10.0,8.0,2.0,ENVY,35,EG,32,0,0.711,0.397,1.107
AllMaps,Okeanos,EG,Breach,1.01,216.0,54,50,17,4,67.0,146.0,32.0,7.0,9.0,-2.0,ENVY,35,EG,32,0,0.735,0.364,1.099
AllMaps,supamen,EG,Astra,0.98,177.0,39,43,21,-4,73.0,120.0,32.0,8.0,2.0,6.0,ENVY,35,EG,32,0,0.576,0.409,0.986
AllMaps,bao,EG,Veto,0.97,189.0,40,48,24,-8,66.0,123.0,29.0,5.0,9.0,-4.0,ENVY,35,EG,32,0,0.564,0.354,0.918
AllMaps,C0M,EG,Sova,0.9,163.0,40,48,22,-8,72.0,109.0,21.0,3.0,6.0,-3.0,ENVY,35,EG,32,0,0.524,0.356,0.881
AllMaps,mta,KRÜ,Yoru,0.96,174.0,35,43,21,-8,69.0,113.0,33.0,5.0,6.0,-1.0,KRU,26,FUR,36,0,0.554,0.371,0.925
AllMaps,infiltrator,KRÜ,Neon,0.94,216.0,44,51,13,-7,73.0,140.0,29.0,10.0,10.0,0.0,KRU,26,FUR,36,0,0.585,0.384,0.969
AllMaps,NagZ,KRÜ,Killjoy,0.93,148.0,32,42,11,-10,63.0,108.0,19.0,6.0,7.0,-1.0,KRU,26,FUR,36,0,0.516,0.357,0.874
AllMaps,benG,KRÜ,Astra,0.89,159.0,35,46,19,-11,68.0,99.0,31.0,1.0,5.0,-4.0,KRU,26,FUR,36,0,0.498,0.349,0.847
AllMaps,Governor,KRÜ,Fade,0.69,132.0,31,49,10,-18,53.0,95.0,38.0,3.0,9.0,-6.0,KRU,26,FUR,36,0,0.5,0.302,0.802
AllMaps,artzin,FUR,Kayo,1.31,221.0,52,34,27,18,76.0,139.0,29.0,7.0,5.0,2.0,KRU,26,FUR,36,1,0.776,0.445,1.222
AllMaps,koalanoob,FUR,Chamber,1.27,271.0,61,40,16,21,74.0,168.0,20.0,15.0,7.0,8.0,KRU,26,FUR,36,1,0.803,0.442,1.244
AllMaps,alym,FUR,Neon,0.98,208.0,45,38,14,7,73.0,127.0,27.0,13.0,5.0,8.0,KRU,26,FUR,36,1,0.725,0.409,1.134
AllMaps,eeiu,FUR,Fade,0.95,166.0,39,32,20,7,81.0,113.0,34.0,2.0,4.0,-2.0,KRU,26,FUR,36,1,0.686,0.381,1.067
AllMaps,nerve,FUR,Astra,0.9,158.0,33,37,25,-4,74.0,109.0,27.0,0.0,4.0,-4.0,KRU,26,FUR,36,1,0.515,0.36,0.875
AllMaps,vora,100T,Skye,1.18,204.0,47,42,28,5,79.0,132.0,30.0,6.0,2.0,4.0,100T,36,LEV,31,1,0.751,0.441,1.192
AllMaps,bang,100T,Viper,1.07,186.0,44,42,18,2,72.0,114.0,31.0,3.0,2.0,1.0,100T,36,LEV,31,1,0.675,0.404,1.08
AllMaps,Asuna,100T,Brimstone,1.06,180.0,44,43,32,1,78.0,112.0,31.0,5.0,6.0,-1.0,100T,36,LEV,31,1,0.655,0.396,1.051
AllMaps,Cryocells,100T,Chamber,0.95,216.0,52,49,9,3,67.0,136.0,30.0,6.0,6.0,0.0,100T,36,LEV,31,1,0.705,0.375,1.08
AllMaps,Timotino,100T,Waylay,0.89,225.0,49,54,15,-5,70.0,146.0,20.0,18.0,13.0,5.0,100T,36,LEV,31,1,0.576,0.395,0.971
