Jogador,Time,K,D,A,+/-,FK,FD,+/-_FK_FD,R,ACS,KAST,ADR,HS%,Score_Time,Score_Adv,Mapas_Time,Mapas_Adv,Impacto
zekken,MIBR,2614,2292,776,322,624,530,94,1.095,228.3,73.7,146.0,26.1,1632,1638,165,171,0.747
johnqt,SEN,1992,1698,1054,294,156,118,38,1.149,190.8,78.3,127.5,26.8,1494,1428,145,125,0.719
cortezia,SEN,1796,1812,534,-16,220,218,2,0.936,191.8,68.9,128.9,35.2,1330,1280,118,96,0.645
Reduxx,SEN,258,268,82,-10,68,64,4,0.935,189.2,67.2,125.1,33.8,208,172,18,6,0.631
Kyu,SEN,228,264,106,-36,20,34,-14,0.903,176.8,67.9,114.3,21.1,208,172,18,6,0.529
N4RRATE,SEN,2042,2012,1056,30,302,246,56,1.055,207.1,75.5,136.3,24.1,1494,1428,145,125,0.682
Demon1,C9,840,782,270,58,122,138,-16,1.022,211.1,71.5,141.8,35.8,546,544,44,40,0.701
Neon,LEV,194,154,36,40,56,24,32,1.151,211.6,75.6,137.3,25.2,130,124,12,6,0.752
neT,C9,1158,1300,430,-142,148,184,-36,0.876,167.5,70.9,109.2,33.0,896,1026,64,92,0.56
mitch,C9,1146,1314,802,-168,116,190,-74,0.945,178.8,73.2,117.9,20.6,896,1026,64,92,0.544
JonahP,G2,1672,1712,1216,-40,206,190,16,1.026,181.4,76.6,115.3,22.1,1272,1400,110,140,0.626
zander,100T,1236,1314,710,-78,194,184,10,0.962,188.4,74.2,120.4,24.6,838,1062,46,110,0.614
Kess,100T,448,512,214,-64,54,52,2,0.898,173.2,69.3,111.5,29.6,312,432,16,44,0.571
s0m,NRG,1460,1378,870,82,180,198,-18,1.059,201.8,77.3,130.8,27.8,1044,1008,91,91,0.681
Dantedeu5,KRÜ,428,494,172,-66,90,124,-34,0.874,187.8,68.3,122.4,25.0,342,326,32,34,0.546
Shyy,KRÜ,1276,1146,388,130,130,102,28,1.071,193.8,72.8,130.0,27.4,954,852,92,70,0.701
Melser,KRÜ,1154,1178,648,-24,140,146,-6,1.003,177.8,75.5,115.6,27.6,954,852,92,70,0.625
icy,EG,1168,1236,274,-68,218,264,-46,0.923,200.9,68.4,132.3,27.3,842,794,70,56,0.597
yay,EG,1270,1262,290,8,278,252,26,0.974,216.8,65.5,140.9,31.9,842,794,70,56,0.68
NaturE,EG,992,1180,664,-188,82,120,-38,0.91,179.6,72.4,116.6,23.0,842,794,70,56,0.553
Derrek,EG,1088,1144,462,-56,84,90,-6,0.984,191.1,71.5,132.4,31.8,842,794,70,56,0.632
heat,FUR,632,794,164,-162,76,98,-22,0.816,175.2,61.9,118.8,37.0,522,502,48,42,0.555
adverso,KRÜ,926,1106,418,-180,100,134,-34,0.889,178.3,68.9,120.0,20.4,824,706,82,50,0.546
Palla,FUR,260,348,70,-88,60,88,-28,0.748,198.8,58.8,129.4,31.5,212,180,22,14,0.542
tuyz,LOUD,686,896,412,-210,76,92,-16,0.811,150.9,69.0,102.0,31.6,640,646,50,58,0.534
Urango,FUR,186,336,100,-150,10,54,-44,0.564,138.9,61.6,93.2,30.7,212,180,22,14,0.463
lz,2G,694,810,428,-116,100,126,-26,0.865,175.0,70.1,111.2,40.5,530,580,48,48,0.569
gobera,2G,674,818,284,-144,72,82,-10,0.856,177.6,65.4,119.2,29.1,530,580,48,48,0.561
silentzz,2G,770,826,172,-56,122,114,8,0.894,192.4,66.4,128.0,37.2,530,580,48,48,0.623
pryze,FUR,648,818,294,-170,44,58,-14,0.853,169.5,66.0,114.7,24.5,534,580,48,54,0.544
xenom,MIBR,1464,1432,784,32,138,152,-14,0.988,180.0,74.2,117.1,32.9,1122,1108,100,90,0.644
RobbieBk,LOUD,284,388,130,-104,20,40,-20,0.778,148.3,62.9,102.4,36.0,252,300,16,32,0.513
Boostio,100T,584,856,334,-272,80,100,-20,0.737,149.0,66.3,98.4,29.4,526,630,30,66,0.512
FiNESSE,NRG,442,644,274,-202,54,84,-30,0.774,148.5,67.0,102.8,19.3,426,490,30,48,0.491
v1nny,LOUD,370,530,310,-160,22,62,-40,0.777,143.0,72.0,98.2,32.7,364,380,24,36,0.509
Zap,2G,124,176,52,-52,8,16,-8,0.696,153.9,64.8,106.8,20.8,114,114,12,6,0.486
Askia,2G,322,342,70,-20,70,74,-4,0.908,195.0,64.9,133.2,31.8,226,242,20,16,0.61
Khalil,FUR,418,468,142,-50,44,54,-10,0.918,185.3,70.2,121.1,30.8,310,322,26,28,0.581
havoc,FUR,426,532,100,-106,136,128,8,0.737,194.1,61.7,124.5,29.9,310,322,26,28,0.572
raafa,FUR,282,482,212,-200,22,72,-50,0.627,137.0,62.2,91.8,21.0,310,322,26,28,0.451
nzr,MIBR,432,500,244,-68,28,26,2,0.962,172.3,69.3,120.0,27.3,360,386,35,33,0.58
bdog,FUR,56,42,42,14,4,0,4,1.277,212.7,79.0,124.7,35.3,52,24,6,0,0.778
Add3r,FUR,56,56,6,0,8,12,-4,0.877,194.7,65.7,125.3,32.7,52,24,6,0,0.604
stellar,FUR,58,48,22,10,8,12,-4,1.077,204.7,76.3,143.3,19.0,52,24,6,0,0.677
jakee,FUR,58,50,36,8,2,8,-6,1.173,221.0,82.0,143.0,25.0,52,24,6,0,0.716
mwzera,FUR,88,110,46,-22,14,14,0,0.873,166.3,66.2,111.2,19.5,80,80,6,6,0.54
nataNk,LEV,208,194,112,14,38,42,-4,1.064,207.7,76.1,136.1,25.4,124,172,8,16,0.685
