Mapa,Time1,Score_T1,Time2,Score_T2,target,Score_T1,R_T1,ACS_T1,KAST_T1,ADR_T1,HS%_T1,Impacto_T1,+/-_T1,FK_T1,FD_T1,+/-_FK_FD_T1,Score_T2,R_T2,ACS_T2,KAST_T2,ADR_T2,HS%_T2,Impacto_T2,+/-_T2,FK_T2,FD_T2,+/-_FK_FD_T2,delta_R,delta_ACS,delta_KAST,delta_ADR,delta_HS%,delta_Impacto
Ascent,100T,15,2G,13,1,15,1.128,208.2,76.4,140.2,24.0,0.6928,3,14.0,14.0,0.0,13,0.9259999999999999,193.6,74.2,125.0,32.0,0.6546000000000001,-3,14.0,14.0,0.0,0.20199999999999996,14.599999999999994,2.200000000000003,15.199999999999989,-8.0,0.0381999999999999
Ascent,2G,13,FUR,2,1,13,1.19,231.0,80.0,155.6,30.4,0.7096,14,5.0,10.0,-5.0,2,0.836,198.4,70.8,132.2,25.2,0.6072,-14,10.0,5.0,5.0,0.354,32.599999999999994,9.200000000000003,23.400000000000006,5.199999999999999,0.10240000000000005
Ascent,2G,8,G2,13,0,8,0.8140000000000001,174.0,55.2,116.8,33.8,0.5751999999999999,-22,8.0,13.0,-5.0,13,1.154,216.8,78.0,134.6,23.6,0.7664,22,13.0,8.0,5.0,-0.33999999999999986,-42.80000000000001,-22.799999999999997,-17.799999999999997,10.199999999999996,-0.19120000000000004
Ascent,C9,6,100T,13,0,6,0.6940000000000001,159.0,56.8,110.2,21.0,0.49000000000000005,-34,8.0,11.0,-3.0,13,1.4060000000000001,237.8,86.2,154.8,24.6,0.8295999999999999,34,11.0,8.0,3.0,-0.7120000000000001,-78.80000000000001,-29.400000000000006,-44.60000000000001,-3.6000000000000014,-0.33959999999999985
Ascent,C9,14,100T,12,1,14,0.982,201.8,73.2,142.8,21.6,0.6684,-3,18.0,8.0,10.0,12,1.058,217.4,73.2,141.0,25.4,0.6824,3,8.0,18.0,-10.0,-0.07600000000000007,-15.599999999999994,0.0,1.8000000000000114,-3.799999999999997,-0.014000000000000012
Ascent,C9,2,FUR,13,0,2,0.716,185.2,64.2,126.4,25.4,0.5378000000000001,-27,8.0,7.0,1.0,13,1.308,253.0,88.0,161.6,30.4,0.8326,27,7.0,8.0,-1.0,-0.5920000000000001,-67.80000000000001,-23.799999999999997,-35.19999999999999,-5.0,-0.29479999999999995
Ascent,C9,13,FUR,8,1,13,1.1720000000000002,201.4,79.0,132.0,24.4,0.7048,16,13.0,8.0,5.0,8,0.82,171.4,64.6,114.0,26.8,0.5542,-16,8.0,13.0,-5.0,0.3520000000000002,30.0,14.400000000000006,18.0,-2.400000000000002,0.15059999999999996
Ascent,C9,13,G2,15,0,13,0.8379999999999999,172.2,63.0,116.4,26.8,0.5618000000000001,-19,13.0,15.0,-2.0,15,1.1800000000000002,217.6,78.0,147.2,26.6,0.755,19,15.0,13.0,2.0,-0.3420000000000003,-45.400000000000006,-15.0,-30.799999999999983,0.1999999999999993,-0.19319999999999993
Ascent,C9,13,LEV,4,1,13,1.184,223.4,86.8,145.2,30.4,0.8160000000000001,18,13.0,4.0,9.0,4,0.8160000000000001,193.6,69.4,125.4,17.6,0.5582,-18,4.0,13.0,-9.0,0.3679999999999999,29.80000000000001,17.39999999999999,19.799999999999983,12.799999999999997,0.25780000000000003
Ascent,C9,18,LEV,16,1,18,1.032,204.6,73.2,142.0,26.0,0.6768,-3,17.0,17.0,0.0,16,1.004,205.4,73.0,134.4,21.6,0.6606,3,17.0,17.0,0.0,0.028000000000000025,-0.8000000000000114,0.20000000000000284,7.599999999999994,4.399999999999999,0.016199999999999992
Ascent,C9,8,LOUD,13,0,8,0.82,179.4,62.8,118.6,21.0,0.5558,-26,10.0,11.0,-1.0,13,1.204,233.6,81.8,150.6,22.6,0.7928,26,11.0,10.0,1.0,-0.384,-54.19999999999999,-19.0,-32.0,-1.6000000000000014,-0.237
Ascent,C9,9,MIBR,13,0,9,0.908,192.2,64.4,129.8,25.8,0.624,-20,11.0,11.0,0.0,13,1.17,226.8,82.0,152.6,30.4,0.7692,20,11.0,11.0,0.0,-0.2619999999999999,-34.60000000000002,-17.599999999999994,-22.799999999999983,-4.599999999999998,-0.1452
Ascent,EG,7,100T,13,0,7,0.82,185.4,60.0,124.6,27.4,0.5721999999999999,-22,7.0,13.0,-6.0,13,1.256,229.6,85.0,153.4,22.2,0.7802,22,13.0,7.0,6.0,-0.43600000000000005,-44.19999999999999,-25.0,-28.80000000000001,5.199999999999999,-0.20800000000000007
Ascent,EG,13,2G,9,1,13,1.0879999999999999,192.8,67.6,128.4,37.4,0.6774,4,9.0,13.0,-4.0,9,0.916,181.0,68.0,113.4,20.4,0.575,-4,13.0,9.0,4.0,0.17199999999999982,11.800000000000011,-0.4000000000000057,15.0,17.0,0.10240000000000005
Ascent,EG,13,FUR,15,0,13,0.9400000000000001,195.6,69.4,129.8,25.4,0.6358,-12,10.0,18.0,-8.0,15,1.094,209.8,77.0,139.0,26.4,0.6898,12,18.0,10.0,8.0,-0.15400000000000003,-14.200000000000017,-7.599999999999994,-9.199999999999989,-1.0,-0.05399999999999994
Ascent,EG,13,LOUD,7,1,13,1.294,229.6,81.0,150.6,32.0,0.7824,23,12.0,8.0,4.0,7,0.754,174.0,65.0,115.2,31.2,0.533,-23,8.0,12.0,-4.0,0.54,55.599999999999994,16.0,35.39999999999999,0.8000000000000007,0.24939999999999996
Ascent,EG,8,NRG,13,0,8,0.8699999999999999,174.0,64.6,114.0,26.0,0.5574,-15,6.0,15.0,-9.0,13,1.184,205.2,80.0,139.0,23.8,0.7512,15,15.0,6.0,9.0,-0.31400000000000006,-31.19999999999999,-15.400000000000006,-25.0,2.1999999999999993,-0.19379999999999997
Ascent,FUR,9,EG,13,0,9,0.868,179.2,71.0,120.8,28.8,0.6108,-16,9.0,13.0,-4.0,13,1.202,218.2,81.0,144.2,21.2,0.7274,15,13.0,9.0,4.0,-0.33399999999999996,-39.0,-10.0,-23.39999999999999,7.600000000000001,-0.11660000000000004
Ascent,FUR,5,G2,13,0,5,0.8320000000000001,168.8,62.2,110.8,28.0,0.5690000000000001,-15,9.0,9.0,0.0,13,1.1179999999999999,202.8,81.0,135.2,28.8,0.7268,15,9.0,9.0,0.0,-0.2859999999999998,-34.0,-18.799999999999997,-24.39999999999999,-0.8000000000000007,-0.15779999999999994
Ascent,FUR,4,LEV,13,0,4,0.776,178.6,68.4,115.0,26.2,0.5806,-19,8.0,9.0,-1.0,13,1.226,221.6,84.4,145.8,30.8,0.7666000000000001,19,9.0,8.0,1.0,-0.44999999999999996,-43.0,-16.0,-30.80000000000001,-4.600000000000001,-0.18600000000000005
Ascent,G2,5,100T,13,0,5,0.716,151.0,51.2,98.8,26.6,0.4784,-28,6.0,12.0,-6.0,13,1.302,219.6,78.8,137.8,19.8,0.7278,28,12.0,6.0,6.0,-0.5860000000000001,-68.6,-27.599999999999994,-39.000000000000014,6.800000000000001,-0.2494
Ascent,G2,13,C9,8,1,13,1.092,204.6,73.4,133.4,20.2,0.6502,8,12.0,9.0,3.0,8,0.8899999999999999,185.2,68.4,119.0,32.6,0.591,-8,9.0,12.0,-3.0,0.20200000000000018,19.400000000000006,5.0,14.400000000000006,-12.400000000000002,0.05920000000000003
Ascent,G2,13,C9,11,1,13,1.0699999999999998,191.8,71.8,124.0,26.2,0.6948000000000001,3,11.0,13.0,-2.0,11,0.974,194.2,76.0,128.0,25.8,0.6524,-3,13.0,11.0,2.0,0.09599999999999986,-2.3999999999999773,-4.200000000000003,-4.0,0.3999999999999986,0.042400000000000104
Ascent,G2,13,EG,4,1,13,1.258,226.0,82.0,145.4,25.0,0.7818,24,9.0,8.0,1.0,4,0.78,171.0,68.2,113.4,29.6,0.5416000000000001,-24,8.0,9.0,-1.0,0.478,55.0,13.799999999999997,32.0,-4.600000000000001,0.24019999999999997
Ascent,G2,13,FUR,7,1,13,1.1640000000000001,195.4,77.0,128.6,28.4,0.7466,14,14.0,6.0,8.0,7,0.798,169.2,61.0,109.6,35.8,0.55,-14,6.0,14.0,-8.0,0.3660000000000001,26.200000000000017,16.0,19.0,-7.399999999999999,0.1966
Ascent,G2,4,LEV,13,0,4,0.558,135.0,50.6,91.0,18.8,0.4574,-41,8.0,9.0,-1.0,13,1.4,234.0,84.6,143.2,24.2,0.796,41,9.0,8.0,1.0,-0.8419999999999999,-99.0,-33.99999999999999,-52.19999999999999,-5.399999999999999,-0.33860000000000007
Ascent,G2,13,LEV,11,1,13,0.944,194.4,71.8,134.6,30.2,0.6272,-6,14.0,10.0,4.0,11,1.074,204.6,70.8,132.8,33.2,0.6742,6,10.0,14.0,-4.0,-0.13000000000000012,-10.199999999999989,1.0,1.799999999999983,-3.0000000000000036,-0.04700000000000004
Ascent,G2,13,MIBR,8,1,13,1.186,223.8,83.8,148.4,25.4,0.7196,13,11.0,10.0,1.0,8,0.8800000000000001,197.8,69.2,130.4,25.2,0.6044,-13,10.0,11.0,-1.0,0.3059999999999998,26.0,14.599999999999994,18.0,0.1999999999999993,0.11519999999999997
Ascent,G2,13,NRG,6,1,13,1.066,203.8,65.0,127.4,16.0,0.6759999999999999,8,11.0,8.0,3.0,6,0.9380000000000001,201.4,76.8,134.2,24.4,0.599,-8,8.0,11.0,-3.0,0.128,2.4000000000000057,-11.799999999999997,-6.799999999999983,-8.399999999999999,0.07699999999999996
Ascent,G2,13,NRG,10,1,13,0.998,185.8,67.8,120.4,26.6,0.6288,2,13.0,10.0,3.0,10,1.0,188.2,72.4,124.6,30.2,0.6317999999999999,-2,10.0,13.0,-3.0,-0.0020000000000000018,-2.3999999999999773,-4.6000000000000085,-4.199999999999989,-3.599999999999998,-0.0029999999999998916
Ascent,G2,11,SEN,13,0,11,1.038,203.6,75.0,127.0,19.2,0.6806,6,10.0,14.0,-4.0,13,1.002,186.4,72.6,119.0,25.8,0.6434,-6,14.0,10.0,4.0,0.03600000000000003,17.19999999999999,2.4000000000000057,8.0,-6.600000000000001,0.03720000000000001
Ascent,LEV,3,C9,13,0,3,0.5780000000000001,134.6,45.2,96.2,33.4,0.45620000000000005,-38,5.0,11.0,-6.0,13,1.436,246.6,92.6,155.4,27.0,0.8384,38,11.0,5.0,6.0,-0.8579999999999999,-112.0,-47.39999999999999,-59.2,6.399999999999999,-0.3822
Ascent,LEV,10,EG,13,0,10,0.9480000000000001,187.4,66.8,126.6,24.2,0.6136,-10,11.0,12.0,-1.0,13,1.092,200.6,72.2,130.4,29.8,0.721,10,12.0,11.0,1.0,-0.14400000000000002,-13.199999999999989,-5.400000000000006,-3.8000000000000114,-5.600000000000001,-0.10739999999999994
Ascent,LEV,5,FUR,13,0,5,0.756,154.8,59.8,106.8,20.2,0.5272,-21,9.0,9.0,0.0,13,1.186,193.2,77.6,121.8,28.2,0.757,21,9.0,9.0,0.0,-0.42999999999999994,-38.39999999999998,-17.799999999999997,-15.0,-8.0,-0.2298
