Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
Okeanos,EG,Neon,0.85,187.8,77,86,20,-9,71.4,128.4,26.8,10,15,-5,5,4,0.8,0.488
kiNgg,LEV,Neon,0.795,190.5,34,40,16,-6,69.5,115.5,21.0,8,9,-1,2,1,0.5,0.472
Virtyy,LOUD,Neon,0.81,200.3,77,96,21,-19,63.5,122.0,25.8,20,25,-5,6,1,0.17,0.471
icy,EG,Neon,0.77,176.2,55,64,15,-9,70.0,117.0,27.5,7,16,-9,4,2,0.5,0.464
Palla,FUR,Neon,0.683,197.0,76,102,17,-26,57.7,127.0,29.3,14,30,-16,6,1,0.17,0.449
infiltrator,KRÜ,Neon,0.657,184.3,37,56,16,-19,64.3,118.7,24.7,10,12,-2,3,0,0.0,0.447
Dantedeu5,KRÜ,Neon,0.64,146.6,45,71,21,-26,62.2,98.4,21.2,9,20,-11,5,0,0.0,0.41
jakee,FUR,Omen,1.59,280.0,19,9,8,10,89.0,176.0,24.0,1,1,0,1,1,1.0,0.82
koalanoob,FUR,Omen,1.15,250.2,74,59,25,15,76.2,154.5,30.8,16,15,1,4,4,1.0,0.749
Derrek,EG,Omen,1.11,230.5,71,64,21,7,74.0,142.8,38.0,7,5,2,4,2,0.5,0.734
Okeanos,EG,Omen,1.115,215.2,160,132,78,28,75.7,138.9,33.5,21,17,4,10,5,0.5,0.724
artzin,FUR,Omen,1.167,206.7,43,34,27,9,86.0,131.7,24.3,3,4,-1,3,3,1.0,0.709
bang,100T,Omen,1.095,199.3,725,647,388,78,76.8,123.5,34.4,84,75,9,49,30,0.61,0.697
valyn,G2,Omen,1.069,204.8,630,562,301,68,76.0,128.9,25.0,60,75,-15,41,31,0.76,0.676
s0m,NRG,Omen,1.034,198.1,331,312,183,19,74.6,125.8,27.8,39,49,-10,22,12,0.55,0.651
keiko,NRG,Omen,1.004,196.4,71,69,30,2,72.0,123.8,37.0,13,7,6,5,4,0.8,0.648
lukxo,LOUD,Omen,1.025,222.0,36,36,11,0,73.0,140.5,29.5,11,6,5,2,1,0.5,0.647
v1c,C9,Omen,1.039,193.0,518,505,317,13,76.2,126.9,29.5,59,53,6,35,19,0.54,0.644
kiNgg,LEV,Omen,1.059,192.2,278,271,155,7,74.4,122.2,30.0,36,37,-1,19,11,0.58,0.63
skuba,NRG,Omen,1.05,198.0,13,14,10,-1,63.0,132.0,31.0,2,0,2,1,0,0.0,0.543
keznit,ENVY,Omen,0.94,196.0,23,28,12,-5,68.0,129.0,28.5,5,4,1,2,0,0.0,0.538
Melser,KRÜ,Omen,0.996,168.6,309,318,189,-9,75.2,109.0,27.7,36,47,-11,25,0,0.0,0.537
gobera,2G,Omen,0.89,190.0,10,12,7,-2,87.0,116.0,29.0,1,1,0,1,0,0.0,0.535
Khalil,FUR,Omen,0.965,188.7,147,154,52,-7,73.0,122.4,33.8,16,22,-6,10,2,0.2,0.521
Ethan,NRG,Omen,1.003,199.7,123,133,88,-10,75.2,132.2,25.2,17,22,-5,9,4,0.44,0.519
johnqt,SEN,Omen,1.053,183.7,43,47,33,-4,75.3,127.3,27.7,2,5,-3,3,0,0.0,0.514
pANcada,LOUD,Omen,0.902,172.9,290,339,147,-49,69.3,117.2,34.4,35,30,5,23,7,0.3,0.505
zekken,MIBR,Omen,0.911,194.6,115,136,76,-21,73.4,127.7,28.2,15,26,-11,9,3,0.33,0.501
xenom,MIBR,Omen,0.913,177.8,244,265,142,-21,72.6,115.0,31.8,24,26,-2,18,5,0.28,0.5
Demon1,ENVY,Omen,0.963,193.5,49,56,30,-7,69.0,127.5,41.0,6,8,-2,4,1,0.25,0.498
zander,100T,Omen,0.94,183.7,253,275,176,-22,73.1,116.0,24.7,36,42,-6,19,11,0.58,0.498
Rossy,ENVY,Omen,0.973,189.5,87,94,47,-7,66.5,118.3,27.7,5,7,-2,6,1,0.17,0.493
cortezia,SEN,Omen,0.874,180.4,102,117,48,-15,66.7,115.1,37.6,14,14,0,7,3,0.43,0.491
Mazino,MIBR,Omen,0.907,168.7,40,45,26,-5,72.7,115.7,24.7,3,4,-1,3,1,0.33,0.486
lz,2G,Omen,0.92,175.8,258,287,166,-29,71.0,111.4,41.5,37,46,-9,20,6,0.3,0.48
supamen,EG,Omen,0.899,174.3,174,195,86,-21,70.3,109.9,36.3,19,27,-8,13,4,0.31,0.473
N4RRATE,SEN,Omen,0.82,165.0,34,44,23,-10,70.7,110.3,31.3,4,5,-1,3,2,0.67,0.468
tuyz,FUR,Omen,0.675,138.9,87,139,63,-52,68.1,92.9,29.2,10,14,-4,10,1,0.1,0.421
Asuna,100T,Omen,0.767,143.3,32,46,26,-14,60.0,92.7,22.7,3,7,-4,3,1,0.33,0.413
benG,KRÜ,Omen,0.45,119.0,6,15,5,-9,67.0,81.0,32.0,1,3,-2,1,0,0.0,0.377
bao,EG,Omen,0.46,84.0,11,30,19,-19,68.5,55.5,26.0,0,4,-4,2,1,0.5,0.356
Reduxx,SEN,Omen,0.49,123.0,9,20,9,-11,54.0,79.0,37.0,5,6,-1,1,0,0.0,0.355
Zap,2G,Omen,0.39,86.0,5,13,1,-8,44.0,59.0,27.0,2,2,0,1,0,0.0,0.332
jawgemo,G2,Phoenix,0.965,233.0,26,25,16,1,73.0,148.0,17.5,8,4,4,2,2,1.0,0.686
yay,EG,Phoenix,0.92,237.0,17,18,8,-1,61.0,175.0,35.0,3,3,0,1,0,0.0,0.551
nataNk,LEV,Phoenix,0.71,180.0,12,19,11,-7,77.0,120.0,17.0,2,2,0,1,0,0.0,0.496
Sato,LEV,Raze,1.176,265.8,94,82,19,12,73.4,174.8,27.6,21,19,2,5,3,0.6,0.774
Asuna,100T,Raze,1.125,243.9,254,220,73,34,74.5,161.2,19.4,67,57,10,15,9,0.6,0.755
jawgemo,G2,Raze,1.055,256.0,36,31,12,5,78.0,148.5,11.0,10,7,3,2,2,1.0,0.752
nataNk,LEV,Raze,1.04,253.0,19,17,4,2,73.0,167.0,24.0,7,5,2,1,0,0.0,0.752
zekken,MIBR,Raze,1.115,234.9,166,138,40,28,74.3,153.2,19.9,42,39,3,10,7,0.7,0.736
mta,KRÜ,Raze,1.14,220.0,18,17,2,1,78.0,129.0,20.0,5,2,3,1,0,0.0,0.731
aspas,MIBR,Raze,1.092,219.0,270,231,52,39,73.6,147.9,21.8,50,40,10,16,5,0.31,0.729
keznit,ENVY,Raze,1.062,228.5,174,161,49,13,73.9,149.6,19.3,31,27,4,11,0,0.0,0.727
dgzin,EG,Raze,1.059,229.6,125,110,24,15,67.6,147.4,26.4,23,22,1,7,3,0.43,0.704
penny,C9,Raze,1.088,216.5,96,83,32,13,73.2,142.3,22.8,13,18,-5,6,5,0.83,0.681
OXY,C9,Raze,1.037,232.1,241,229,60,12,73.5,152.4,23.7,46,55,-9,14,9,0.64,0.68
Demon1,ENVY,Raze,1.027,205.0,49,43,13,6,75.7,138.7,23.3,3,11,-8,3,2,0.67,0.671
mada,NRG,Raze,1.026,227.3,352,337,80,15,68.9,146.3,23.2,99,102,-3,21,9,0.43,0.669
artzin,FUR,Raze,0.98,227.8,83,79,20,4,71.4,144.2,17.4,18,23,-5,5,3,0.6,0.659
icy,EG,Raze,1.042,226.2,269,258,61,11,70.3,150.2,22.9,55,65,-10,16,8,0.5,0.659
Virtyy,LOUD,Raze,1.032,220.2,69,67,16,2,69.2,139.0,19.8,16,26,-10,4,1,0.25,0.632
Askia,2G,Raze,0.91,199.0,15,16,1,-1,57.0,147.0,33.0,2,4,-2,1,0,0.0,0.485
Dantedeu5,KRÜ,Raze,0.82,176.0,10,14,3,-4,61.0,119.0,31.0,4,6,-2,1,0,0.0,0.454
havoc,FUR,Raze,0.687,190.7,34,46,11,-12,57.7,133.3,21.7,9,12,-3,3,0,0.0,0.45
silentzz,2G,Raze,0.415,138.0,14,32,4,-18,44.0,99.5,19.5,7,7,0,2,0,0.0,0.376
Palla,FUR,Raze,0.57,164.0,8,16,3,-8,35.0,111.0,18.0,1,3,-2,1,0,0.0,0.369
mada,NRG,Reyna,1.55,345.0,24,16,8,8,76.0,242.0,34.0,7,4,3,1,1,1.0,0.828
dgzin,EG,Reyna,0.67,186.0,15,19,6,-4,63.0,124.0,53.0,5,4,1,1,0,0.0,0.492
Cryocells,100T,Sage,1.374,256.4,93,66,33,27,76.6,173.4,28.8,11,5,6,5,3,0.6,0.799
JonahP,G2,Sage,1.086,177.6,64,60,41,4,77.6,118.8,24.4,8,5,3,5,4,0.8,0.683
Asuna,100T,Sage,1.012,173.5,131,143,98,-12,79.1,109.0,20.2,10,18,-8,10,5,0.5,0.5
johnqt,SEN,Sage,0.857,132.0,26,38,33,-12,78.7,83.7,24.3,2,2,0,3,1,0.33,0.467
Okeanos,EG,Sage,0.95,154.0,13,15,11,-2,71.0,99.0,30.0,2,4,-2,1,0,0.0,0.462
Zellsis,C9,Sage,0.89,165.0,12,17,12,-5,67.0,101.0,12.0,0,2,-2,1,0,0.0,0.455
Urango,FUR,Sage,0.685,142.2,38,63,26,-25,69.5,92.8,35.0,0,11,-11,4,1,0.25,0.422
raafa,FUR,Sage,0.62,134.5,18,29,7,-11,56.5,85.5,17.5,1,4,-3,2,0,0.0,0.383
nataNk,LEV,Skye,1.235,216.0,34,27,17,7,76.0,149.0,30.5,6,6,0,2,1,0.5,0.727
trent,G2,Skye,1.17,197.3,95,83,58,12,76.3,129.8,31.3,8,3,5,6,6,1.0,0.72
Xeppaa,C9,Skye,1.034,182.4,68,64,56,4,78.4,117.4,26.4,2,3,-1,5,4,0.8,0.651
mitch,C9,Skye,1.026,183.9,133,139,105,-6,75.7,119.4,17.9,11,23,-12,11,7,0.64,0.539
vora,100T,Skye,0.963,193.9,152,168,88,-16,75.3,127.6,30.6,14,14,0,10,5,0.5,0.531
nzr,MIBR,Skye,0.99,177.0,73,87,54,-14,70.2,126.2,22.5,8,6,2,6,3,0.5,0.529
Verno,MIBR,Skye,0.96,195.0,15,19,12,-4,62.0,125.0,46.0,2,3,-1,1,1,1.0,0.483
RobbieBk,LOUD,Skye,0.913,176.0,39,45,19,-6,67.3,114.3,37.0,2,6,-4,3,1,0.33,0.472
mwzera,FUR,Skye,0.77,155.0,9,13,4,-4,63.0,98.0,12.0,3,1,2,1,0,0.0,0.47
Mazino,MIBR,Skye,0.78,168.2,70,89,51,-19,71.3,115.2,28.2,10,21,-11,6,0,0.0,0.462
P0PPIN,ENVY,Skye,0.71,136.0,20,31,14,-11,65.5,82.0,14.0,4,3,1,2,1,0.5,0.449
Kyu,SEN,Skye,0.83,163.0,27,35,17,-8,64.0,106.5,25.5,1,6,-5,2,0,0.0,0.446
Governor,KRÜ,Skye,0.71,150.0,8,14,6,-6,59.0,97.0,29.0,0,0,0,1,0,0.0,0.433
cauanzin,LOUD,Skye,0.555,181.0,22,35,12,-13,63.0,112.0,25.0,8,9,-1,2,0,0.0,0.428
Ethan,NRG,Skye,0.722,139.0,39,68,32,-29,65.5,91.5,23.5,8,11,-3,4,1,0.25,0.416
keznit,ENVY,Skye,0.72,125.0,7,12,6,-5,56.0,71.0,24.0,1,1,0,1,0,0.0,0.399
Derrek,EG,Skye,0.52,132.0,19,34,17,-15,66.0,76.0,34.0,1,5,-4,2,0,0.0,0.382
Urango,FUR,Skye,0.37,102.0,6,15,4,-9,47.0,50.0,14.0,2,1,1,1,0,0.0,0.361
N4RRATE,SEN,Sova,1.293,242.2,171,130,70,41,77.9,166.3,28.9,19,14,5,11,6,0.55,0.78
trent,G2,Sova,1.295,228.0,237,164,92,73,76.3,156.4,30.5,16,17,-1,15,13,0.87,0.742
brawk,NRG,Sova,1.161,212.5,489,422,191,67,74.2,143.9,20.6,51,31,20,34,20,0.59,0.732
Kyu,SEN,Sova,1.1,229.0,35,31,14,4,76.5,152.0,25.0,5,5,0,2,1,0.5,0.722
Zap,2G,Sova,1.065,205.0,34,31,9,3,71.0,136.0,24.0,2,1,1,2,0,0.0,0.707
eeiu,FUR,Sova,1.092,193.9,398,372,150,26,73.9,132.1,31.4,25,28,-3,28,16,0.57,0.677
mitch,C9,Sova,1.02,190.3,142,139,58,3,76.2,130.5,24.1,15,14,1,10,6,0.6,0.635
Mazino,MIBR,Sova,1.03,201.8,129,128,58,1,70.5,136.6,23.4,17,13,4,10,0,0.0,0.633
Xeppaa,C9,Sova,0.989,186.6,195,201,89,-6,74.5,124.8,26.6,13,8,5,14,6,0.43,0.582
Verno,MIBR,Sova,0.996,182.5,358,365,159,-7,74.9,123.4,30.3,35,40,-5,29,14,0.48,0.572
Derrek,EG,Sova,1.025,195.6,196,210,90,-14,72.1,140.9,34.3,15,13,2,14,6,0.43,0.547
C0M,EG,Sova,0.974,181.5,377,392,158,-15,71.8,124.6,26.1,34,39,-5,28,13,0.46,0.543
P0PPIN,ENVY,Sova,0.904,197.0,132,142,47,-10,72.4,127.5,31.8,24,15,9,8,3,0.38,0.541
vora,100T,Sova,0.94,182.0,16,17,6,-1,71.0,119.0,23.0,4,0,4,1,0,0.0,0.53
pryze,2G,Sova,0.965,182.8,150,167,57,-17,66.6,124.9,26.2,14,9,5,13,5,0.38,0.524
nzr,MIBR,Sova,0.977,172.9,98,106,50,-8,73.0,122.6,30.9,6,6,0,7,6,0.86,0.514
adverso,KRÜ,Sova,0.911,176.4,221,257,101,-36,67.2,120.0,19.9,20,20,0,19,0,0.0,0.497
mwzera,FUR,Sova,0.98,184.5,25,28,13,-3,68.0,133.0,23.5,1,3,-2,2,0,0.0,0.497
cauanzin,LOUD,Sova,0.882,188.5,218,241,79,-23,68.8,126.9,26.5,21,37,-16,15,4,0.27,0.486
NaturE,EG,Sova,0.883,168.0,48,57,31,-9,70.5,114.2,21.0,5,6,-1,4,2,0.5,0.482
johnqt,SEN,Sova,0.888,157.2,43,57,24,-14,68.5,114.5,30.2,4,5,-1,4,1,0.25,0.473
blowz,LEV,Sova,0.66,161.0,11,16,1,-5,50.0,103.0,21.0,1,0,1,1,0,0.0,0.441
Governor,KRÜ,Sova,0.72,149.0,42,65,23,-23,65.5,102.5,31.2,4,11,-7,4,0,0.0,0.428
RobbieBk,LOUD,Sova,0.775,137.7,57,79,23,-22,63.7,99.8,38.8,5,9,-4,6,2,0.33,0.423
Urango,FUR,Sova,0.54,135.0,18,33,9,-15,69.0,104.0,32.5,0,4,-4,2,0,0.0,0.41
PxS,LEV,Sova,0.52,127.0,7,15,1,-8,53.0,81.0,44.0,2,1,1,1,0,0.0,0.401
vora,100T,Tejo,1.385,255.5,33,22,6,11,82.0,163.5,28.5,2,2,0,2,1,0.5,0.782
N4RRATE,SEN,Tejo,1.126,216.8,84,73,37,11,82.0,149.0,24.8,15,4,11,5,3,0.6,0.748
johnqt,SEN,Tejo,1.195,207.5,419,333,132,86,77.2,141.2,26.2,37,23,14,26,17,0.65,0.737
trent,G2,Tejo,1.15,201.2,689,580,279,109,76.0,137.6,24.9,78,63,15,44,30,0.68,0.718
Verno,MIBR,Tejo,1.178,203.5,266,214,99,52,76.7,138.6,25.2,19,17,2,16,9,0.56,0.715
Xeppaa,C9,Tejo,1.118,220.1,225,203,62,22,75.2,147.0,22.5,15,21,-6,13,7,0.54,0.695
Asuna,100T,Tejo,1.21,194.0,18,17,12,1,79.0,129.0,19.0,2,3,-1,1,1,1.0,0.685
nerve,FUR,Tejo,1.147,200.7,47,35,11,12,76.3,135.3,26.0,2,4,-2,3,3,1.0,0.681
stellar,FUR,Tejo,1.075,204.5,29,24,11,5,76.5,143.5,19.0,4,6,-2,2,2,1.0,0.681
eeiu,FUR,Tejo,1.02,184.8,112,110,48,2,77.2,127.9,28.8,9,6,3,8,5,0.62,0.64
Ethan,NRG,Tejo,0.965,181.9,93,94,37,-1,74.2,126.9,24.5,14,18,-4,8,6,0.75,0.564
Rossy,ENVY,Tejo,1.04,186.0,27,28,8,-1,71.5,130.0,40.5,2,4,-2,2,1,0.5,0.544
Derrek,EG,Tejo,0.969,181.0,222,234,95,-12,71.2,126.2,28.3,16,18,-2,16,9,0.56,0.529
C0M,EG,Tejo,0.932,167.9,112,131,52,-19,76.0,114.9,23.8,8,8,0,9,2,0.22,0.508
blowz,LEV,Tejo,0.89,198.5,27,29,7,-2,71.0,133.5,25.0,1,2,-1,2,1,0.5,0.5
brawk,NRG,Tejo,0.937,177.7,157,172,72,-15,72.3,123.6,21.3,10,15,-5,12,4,0.33,0.494
cauanzin,LOUD,Tejo,0.976,185.8,182,198,69,-16,68.5,127.2,23.4,16,34,-18,13,6,0.46,0.494
gobera,2G,Tejo,0.815,169.1,103,123,37,-20,68.9,120.1,25.9,9,16,-7,8,3,0.38,0.465
adverso,KRÜ,Tejo,0.729,152.2,79,118,37,-39,70.2,109.0,19.2,8,16,-8,8,0,0.0,0.443
lz,2G,Tejo,0.61,133.0,7,13,3,-6,53.0,102.0,41.0,3,1,2,1,0,0.0,0.427
mitch,C9,Tejo,0.67,154.0,24,34,7,-10,64.0,105.5,21.0,6,7,-1,2,1,0.5,0.424
Zap,2G,Tejo,0.55,144.5,18,30,6,-12,71.5,103.0,19.5,0,4,-4,2,0,0.0,0.419
Kyu,SEN,Tejo,0.74,153.0,10,15,2,-5,56.0,103.0,21.0,0,2,-2,1,0,0.0,0.415
Darker,LOUD,Tejo,0.43,114.0,13,30,6,-17,60.0,79.5,17.5,4,3,1,2,0,0.0,0.402
raafa,FUR,Tejo,0.555,150.0,16,30,9,-14,60.0,104.5,14.0,1,6,-5,2,0,0.0,0.402
pryze,FUR,Tejo,0.655,134.0,32,54,13,-22,60.2,93.0,24.0,1,4,-3,4,0,0.0,0.398
v1nny,LOUD,Tejo,0.56,126.0,11,20,6,-9,63.0,92.0,19.0,1,2,-1,1,0,0.0,0.388
artzin,FUR,Tejo,0.34,94.0,4,15,2,-11,41.0,80.0,18.0,0,4,-4,1,0,0.0,0.316
Cryocells,100T,Veto,1.181,222.4,139,105,10,34,76.5,148.6,38.1,18,16,2,8,5,0.62,0.736
penny,C9,Veto,1.26,214.0,38,28,14,10,83.0,151.0,26.0,6,10,-4,2,2,1.0,0.722
bao,EG,Veto,1.11,225.0,55,49,10,6,71.3,143.7,36.0,9,9,0,3,2,0.67,0.706
OXY,C9,Veto,0.91,204.0,19,19,1,0,67.0,135.0,40.0,4,3,1,1,0,0.0,0.611
leaf,G2,Veto,0.89,176.0,10,11,5,-1,75.0,125.0,19.0,3,3,0,1,1,1.0,0.512
pryze,2G,Viper,1.1,256.0,13,12,4,1,93.0,172.0,27.0,1,0,1,1,0,0.0,0.8
Darker,LOUD,Viper,1.147,266.7,54,47,16,7,72.7,166.3,29.7,7,4,3,3,0,0.0,0.768
pANcada,LOUD,Viper,1.313,226.7,59,42,15,17,73.7,159.0,34.7,5,3,2,3,1,0.33,0.764
JonahP,G2,Viper,1.19,218.7,106,86,40,20,77.9,140.0,24.6,23,15,8,7,4,0.57,0.742
johnqt,SEN,Viper,1.246,197.3,196,143,117,53,84.4,127.9,26.1,19,4,15,14,11,0.79,0.742
v1c,C9,Viper,1.222,224.0,83,67,19,16,73.0,150.2,34.0,8,6,2,5,1,0.2,0.742
Cryocells,100T,Viper,1.014,222.8,93,88,22,5,74.8,147.6,26.0,13,8,5,5,2,0.4,0.725
keiko,NRG,Viper,1.36,198.0,29,20,12,9,73.5,138.5,45.5,2,2,0,2,2,1.0,0.72
lukxo,LOUD,Viper,1.055,220.6,179,160,44,19,67.4,145.0,30.9,31,27,4,10,2,0.2,0.709
s0m,NRG,Viper,1.114,212.7,109,100,60,9,80.1,140.4,28.0,12,14,-2,7,3,0.43,0.703
penny,C9,Viper,1.123,195.3,44,36,22,8,78.3,127.7,23.3,9,9,0,3,3,1.0,0.696
Rossy,ENVY,Viper,1.025,197.2,62,54,15,8,74.8,129.2,27.0,8,7,1,4,3,0.75,0.691
skuba,NRG,Viper,1.077,194.1,433,375,160,58,75.2,129.0,27.0,46,43,3,29,19,0.66,0.69
adverso,KRÜ,Viper,1.097,215.8,90,84,40,6,76.2,140.8,20.8,13,16,-3,6,0,0.0,0.686
leaf,G2,Viper,1.07,216.6,345,300,105,45,72.0,143.6,22.6,46,57,-11,21,18,0.86,0.678
cortezia,SEN,Viper,0.946,205.1,211,205,66,6,72.5,138.1,31.1,26,19,7,13,4,0.31,0.661
lz,2G,Viper,1.045,217.0,30,29,9,1,71.0,142.5,41.5,6,6,0,2,0,0.0,0.659
bang,100T,Viper,1.064,199.5,226,213,81,13,72.1,131.4,35.3,26,34,-8,15,7,0.47,0.652
kiNgg,LEV,Viper,1.082,201.2,172,166,67,6,72.7,132.5,26.8,15,16,-1,12,4,0.33,0.648
xenom,MIBR,Viper,0.991,182.4,203,185,68,18,70.5,120.7,35.3,22,26,-4,14,10,0.71,0.645
Shyy,KRÜ,Viper,1.029,195.1,115,112,39,3,71.0,128.6,30.1,11,9,2,8,0,0.0,0.639
supamen,EG,Viper,0.98,190.0,333,346,109,-13,67.1,128.4,36.0,38,36,2,23,12,0.52,0.55
C0M,EG,Viper,0.943,195.7,41,43,21,-2,76.3,132.7,18.3,4,7,-3,3,2,0.67,0.537
zander,100T,Viper,0.919,187.7,189,207,73,-18,73.5,121.8,24.1,40,27,13,14,7,0.5,0.537
artzin,FUR,Viper,0.94,211.0,30,31,9,-1,64.5,134.5,27.5,6,11,-5,2,1,0.5,0.535
spike,LEV,Viper,0.927,189.2,82,86,37,-4,72.7,127.5,28.0,10,12,-2,6,4,0.67,0.529
Inspire,ENVY,Viper,0.966,197.0,77,82,16,-5,64.8,133.6,38.8,12,11,1,5,1,0.2,0.525
tuyz,LOUD,Viper,0.73,218.0,16,19,4,-3,57.0,149.0,19.0,4,2,2,1,0,0.0,0.519
PxS,LEV,Viper,0.983,181.7,40,42,16,-2,63.0,122.0,21.3,3,4,-1,3,0,0.0,0.51
silentzz,2G,Viper,0.875,153.0,18,25,11,-7,73.0,104.5,23.0,2,0,2,2,0,0.0,0.503
Melser,KRÜ,Viper,0.886,170.8,59,73,35,-14,80.4,119.2,24.8,7,9,-2,5,0,0.0,0.499
nerve,FUR,Viper,0.834,158.2,94,118,58,-24,70.4,107.0,18.1,9,6,3,9,6,0.67,0.491
Khalil,FUR,Viper,0.66,168.0,8,13,3,-5,69.0,103.0,19.0,1,0,1,1,0,0.0,0.48
tex,MIBR,Viper,0.834,171.1,178,208,56,-30,68.1,113.5,34.7,30,32,-2,14,7,0.5,0.478
neT,C9,Viper,0.908,164.8,264,284,112,-20,73.3,107.3,30.9,35,46,-11,21,13,0.62,0.476
Zellsis,C9,Viper,0.87,169.5,175,211,94,-36,68.4,110.8,21.7,25,34,-9,15,10,0.67,0.464
BABYBAY,G2,Viper,0.813,175.4,102,125,51,-23,68.1,113.6,21.0,16,24,-8,9,4,0.44,0.462
NaturE,EG,Viper,0.675,158.5,23,31,6,-8,59.5,102.0,18.5,4,3,1,2,0,0.0,0.458
FiNESSE,NRG,Viper,0.835,160.5,22,28,11,-6,66.0,104.5,15.5,5,6,-1,2,1,0.5,0.448
NagZ,KRÜ,Viper,0.873,156.0,36,44,7,-8,60.7,107.3,32.3,2,6,-4,3,0,0.0,0.441
Demon1,ENVY,Viper,0.86,140.0,22,28,4,-6,64.5,107.5,39.5,1,3,-2,2,0,0.0,0.44
heat,FUR,Viper,0.736,163.4,89,135,28,-46,60.0,113.3,34.3,10,18,-8,9,1,0.11,0.433
Mazino,MIBR,Viper,0.68,151.0,60,91,25,-31,60.0,102.0,21.7,6,8,-2,6,0,0.0,0.421
gobera,2G,Viper,0.53,131.5,19,31,5,-12,49.0,88.5,27.0,3,3,0,2,0,0.0,0.381
benG,KRÜ,Viper,0.67,137.0,11,17,2,-6,52.0,85.0,43.0,0,2,-2,1,0,0.0,0.38
gobera,2G,Vyse,1.19,263.5,35,30,10,5,73.0,177.0,34.0,4,3,1,2,0,0.0,0.779
brawk,NRG,Vyse,1.36,224.5,102,70,48,32,83.7,141.5,16.2,8,5,3,6,5,0.83,0.775
Mazino,MIBR,Vyse,1.285,255.5,35,31,13,4,74.5,156.0,27.0,6,4,2,2,0,0.0,0.774
lukxo,LOUD,Vyse,1.18,257.7,66,54,21,12,65.3,166.0,32.0,9,6,3,3,2,0.67,0.754
leaf,G2,Vyse,1.155,231.4,357,300,140,57,74.5,152.3,24.5,55,30,25,20,15,0.75,0.746
Shyy,KRÜ,Vyse,1.151,210.4,186,147,44,39,70.7,141.4,27.3,18,13,5,12,0,0.0,0.718
Verno,MIBR,Vyse,1.03,183.5,35,29,8,6,83.5,119.5,31.5,3,1,2,2,1,0.5,0.706
JonahP,G2,Vyse,1.061,200.6,131,111,57,20,76.1,129.0,22.3,16,13,3,9,9,1.0,0.703
cauanzin,LOUD,Vyse,0.995,211.5,37,35,10,2,68.5,137.0,24.5,4,2,2,2,0,0.0,0.699
Xeppaa,C9,Vyse,1.064,207.6,233,225,108,8,78.5,136.8,24.2,26,17,9,16,8,0.5,0.687
silentzz,2G,Vyse,0.986,200.9,115,109,37,6,75.0,134.6,38.7,13,11,2,7,3,0.43,0.684
skuba,NRG,Vyse,1.065,164.0,23,21,12,2,75.0,117.5,31.0,2,4,-2,2,1,0.5,0.641
tex,MIBR,Vyse,1.035,195.2,181,179,58,2,77.0,127.3,34.8,29,29,0,13,7,0.54,0.624
cortezia,SEN,Vyse,0.956,200.0,131,133,50,-2,66.4,132.4,38.0,20,14,6,8,3,0.38,0.594
Zellsis,C9,Vyse,0.994,188.5,385,389,170,-4,73.3,124.9,22.4,42,57,-15,27,18,0.67,0.565
kiNgg,LEV,Vyse,0.905,183.0,21,22,8,-1,63.5,124.5,29.5,5,4,1,2,1,0.5,0.552
FiNESSE,NRG,Vyse,0.798,156.0,50,74,37,-24,70.2,108.4,22.6,6,3,3,5,1,0.2,0.494
heat,FUR,Vyse,0.918,193.6,63,72,15,-9,62.0,127.6,41.2,5,7,-2,5,1,0.2,0.484
tuyz,LOUD,Vyse,0.86,163.0,15,17,5,-2,63.0,126.0,28.0,0,0,0,1,0,0.0,0.481
NaturE,EG,Vyse,0.901,173.1,87,109,53,-22,70.1,119.7,24.6,6,16,-10,7,3,0.43,0.478
Kess,100T,Vyse,0.715,174.5,28,29,5,-1,60.0,118.0,24.5,1,5,-4,2,1,0.5,0.475
BABYBAY,G2,Vyse,0.82,159.2,39,50,30,-11,76.2,109.8,21.5,5,12,-7,4,3,0.75,0.468
Boostio,100T,Vyse,0.65,151.0,20,32,7,-12,59.0,99.0,21.0,5,4,1,2,0,0.0,0.449
adverso,FUR,Vyse,0.77,173.0,23,31,6,-8,62.5,110.5,26.0,2,5,-3,2,0,0.0,0.444
Add3r,FUR,Vyse,0.56,154.0,10,14,3,-4,56.0,102.0,31.0,3,4,-1,1,1,1.0,0.396
BABYBAY,G2,Waylay,1.1,240.0,36,29,10,7,70.5,150.0,14.5,8,4,4,2,2,1.0,0.736
mada,NRG,Waylay,1.104,228.1,253,212,71,41,72.9,146.0,29.4,64,49,15,16,11,0.69,0.732
kiNgg,LEV,Waylay,1.09,203.0,13,10,1,3,76.0,134.0,24.0,4,3,1,1,1,1.0,0.717
aspas,MIBR,Waylay,1.018,210.2,89,73,11,16,70.0,136.8,35.8,18,14,4,5,3,0.6,0.703
alym,FUR,Waylay,0.989,201.2,108,105,40,3,75.2,127.8,27.8,25,19,6,8,6,0.75,0.655
Reduxx,SEN,Waylay,1.01,183.5,33,30,6,3,70.0,122.0,24.0,6,10,-4,2,0,0.0,0.638
keznit,ENVY,Waylay,0.996,207.4,79,78,26,1,70.0,139.2,27.6,12,15,-3,5,2,0.4,0.602
Palla,FUR,Waylay,0.92,223.0,9,12,2,-3,69.0,145.0,34.0,2,1,1,1,0,0.0,0.561
