Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
Add3r,FUR,Cypher,1.18,235.0,18,14,0,4,75.0,148.0,34.0,1,2,-1,1,1,1.0,0.707
silentzz,2G,Cypher,1.182,194.5,62,48,11,14,72.2,132.0,49.8,6,6,0,4,3,0.75,0.693
Shyy,KRÜ,Cypher,1.042,185.2,237,227,87,10,75.2,125.4,27.2,25,19,6,18,0,0.0,0.657
cortezia,SEN,Cypher,0.949,198.1,273,255,47,18,67.6,129.7,40.2,30,32,-2,17,8,0.47,0.655
johnqt,SEN,Cypher,1.042,186.6,71,63,26,8,68.8,128.0,28.4,5,7,-2,5,2,0.4,0.649
leaf,G2,Cypher,0.99,205.0,18,19,5,-1,71.0,139.0,24.0,2,3,-1,1,0,0.0,0.517
neT,C9,Cypher,0.924,169.5,160,172,52,-12,71.5,111.3,33.7,21,20,1,12,6,0.5,0.501
Zellsis,C9,Cypher,0.872,184.8,74,84,27,-10,63.2,123.3,25.3,11,16,-5,6,3,0.5,0.47
icy,EG,Cypher,0.797,144.2,62,86,25,-24,63.7,98.2,34.2,8,4,4,6,2,0.33,0.469
tex,MIBR,Cypher,0.88,164.0,156,173,44,-17,66.8,107.4,31.3,22,26,-4,12,7,0.58,0.464
tuyz,LOUD,Cypher,0.866,153.9,130,154,61,-24,71.1,103.6,31.3,17,21,-4,11,6,0.55,0.462
Kess,100T,Cypher,0.784,159.1,79,99,18,-20,65.0,100.7,36.4,9,10,-1,7,2,0.29,0.452
heat,FUR,Cypher,0.717,165.1,72,97,15,-25,62.3,114.1,39.9,8,13,-5,7,0,0.0,0.437
skuba,NRG,Cypher,0.75,145.0,24,32,14,-8,68.0,96.5,25.0,0,4,-4,2,0,0.0,0.43
FiNESSE,NRG,Cypher,0.702,144.0,72,121,50,-49,62.5,102.0,17.8,10,23,-13,8,3,0.38,0.418
s0m,NRG,Cypher,0.55,134.0,8,15,4,-7,53.0,99.0,20.0,1,1,0,1,0,0.0,0.398
Boostio,100T,Cypher,0.564,133.2,46,80,16,-34,58.0,88.8,37.0,7,12,-5,5,3,0.6,0.381
gobera,2G,Cypher,0.579,138.9,65,112,20,-47,49.9,94.1,31.0,10,13,-3,7,0,0.0,0.377
Urango,FUR,Deadlock,1.09,225.0,13,12,4,1,67.0,142.0,41.0,1,1,0,1,0,0.0,0.695
BABYBAY,G2,Deadlock,1.02,165.0,12,10,2,2,85.0,100.0,22.0,1,1,0,1,1,1.0,0.665
tuyz,LOUD,Deadlock,1.16,204.0,13,14,5,-1,72.0,132.0,37.0,3,1,2,1,0,0.0,0.574
leaf,G2,Deadlock,0.95,206.5,31,33,13,-2,61.0,136.0,30.5,7,4,3,2,2,1.0,0.535
neT,C9,Deadlock,0.866,183.0,91,106,30,-15,68.4,121.0,33.6,11,13,-2,7,3,0.43,0.486
artzin,FUR,Deadlock,0.75,175.0,13,18,6,-5,68.0,115.0,42.0,1,4,-3,1,0,0.0,0.456
Mazino,MIBR,Deadlock,0.65,172.0,11,17,2,-6,63.0,116.0,25.0,0,1,-1,1,0,0.0,0.436
Zellsis,C9,Deadlock,0.74,178.0,12,16,1,-4,58.0,108.0,26.0,1,2,-1,1,0,0.0,0.434
adverso,FUR,Deadlock,0.61,142.0,8,15,3,-7,35.0,80.0,24.0,2,5,-3,1,0,0.0,0.343
s0m,NRG,Deadlock,0.25,80.0,4,15,3,-11,47.0,63.0,63.0,0,4,-4,1,0,0.0,0.317
Rossy,ENVY,Deadlock,0.37,73.0,4,14,0,-10,38.0,60.0,29.0,0,3,-3,1,0,0.0,0.3
Kess,100T,Fade,1.165,193.5,28,24,16,4,79.5,121.0,20.5,2,1,1,2,2,1.0,0.718
Ethan,NRG,Fade,1.125,222.8,100,88,48,12,78.3,136.7,22.8,10,10,0,6,5,0.83,0.715
N4RRATE,SEN,Fade,1.082,208.3,387,375,223,12,76.3,134.4,22.4,56,41,15,26,18,0.69,0.681
trent,G2,Fade,1.099,182.6,185,164,91,21,79.9,121.1,28.0,13,18,-5,14,11,0.79,0.671
eeiu,FUR,Fade,1.066,186.0,327,282,142,45,75.8,119.5,33.7,26,33,-7,22,11,0.5,0.662
nataNk,LEV,Fade,1.04,196.5,26,22,10,4,75.5,126.5,26.0,2,6,-4,2,1,0.5,0.661
Mazino,MIBR,Fade,0.985,206.0,61,60,35,1,73.5,125.0,21.8,7,8,-1,4,0,0.0,0.612
leaf,G2,Fade,1.13,238.0,26,28,10,-2,75.0,152.0,26.0,4,0,4,2,0,0.0,0.606
vora,100T,Fade,1.02,191.5,132,138,63,-6,74.0,129.5,31.6,19,18,1,10,6,0.6,0.567
JonahP,G2,Fade,1.037,193.0,170,174,120,-4,77.4,120.0,22.5,13,25,-12,11,8,0.73,0.561
Verno,MIBR,Fade,0.945,178.5,167,175,88,-8,76.8,113.1,27.7,19,16,3,12,5,0.42,0.549
adverso,FUR,Fade,0.98,207.7,42,48,22,-6,77.7,131.7,18.0,5,5,0,3,1,0.33,0.546
blowz,LEV,Fade,0.991,171.5,104,106,43,-2,73.8,112.1,27.1,6,10,-4,8,4,0.5,0.542
PxS,LEV,Fade,0.93,192.3,43,46,19,-3,77.0,125.3,33.3,5,6,-1,3,1,0.33,0.514
tuyz,LOUD,Fade,0.87,164.0,16,19,10,-3,81.0,111.0,30.0,1,1,0,1,0,0.0,0.506
NaturE,EG,Fade,0.91,179.7,120,141,70,-21,71.7,112.3,22.0,11,13,-2,9,5,0.56,0.492
C0M,EG,Fade,0.867,148.0,120,154,80,-34,71.4,102.0,27.9,15,14,1,11,5,0.45,0.478
mitch,C9,Fade,0.8,159.0,77,108,59,-31,73.3,105.1,20.3,10,20,-10,7,3,0.43,0.457
pryze,2G,Fade,0.819,173.6,116,148,60,-32,64.1,115.1,22.7,6,16,-10,9,1,0.11,0.456
Kyu,SEN,Fade,0.825,169.5,30,40,14,-10,65.0,109.0,15.0,3,4,-1,2,0,0.0,0.452
cauanzin,LOUD,Fade,0.75,165.0,48,65,25,-17,67.0,104.5,22.2,7,9,-2,4,1,0.25,0.443
johnqt,SEN,Fade,0.77,122.0,8,12,10,-4,81.0,71.0,14.0,0,1,-1,1,0,0.0,0.428
P0PPIN,ENVY,Fade,0.67,157.0,36,51,21,-15,65.7,96.0,38.3,5,8,-3,3,1,0.33,0.423
brawk,NRG,Fade,0.747,140.0,44,64,31,-20,63.5,93.0,20.8,4,6,-2,4,1,0.25,0.416
Melser,KRÜ,Fade,0.775,136.0,19,26,11,-7,62.0,89.0,23.5,2,3,-1,2,0,0.0,0.412
Governor,KRÜ,Fade,0.693,146.7,34,51,17,-17,59.3,96.3,22.0,4,9,-5,3,0,0.0,0.408
nzr,MIBR,Fade,0.725,147.5,21,30,6,-9,55.0,101.5,18.5,0,1,-1,2,0,0.0,0.408
RobbieBk,LOUD,Fade,0.66,132.0,19,35,18,-16,59.0,83.0,29.0,1,3,-2,2,0,0.0,0.389
Xeppaa,C9,Fade,0.605,108.0,16,33,16,-17,56.5,72.0,25.0,3,4,-1,2,0,0.0,0.359
brawk,NRG,Gekko,1.22,225.0,17,13,7,4,71.0,153.0,13.0,2,1,1,1,1,1.0,0.744
N4RRATE,SEN,Gekko,0.915,191.5,31,31,10,0,61.5,135.5,21.0,4,5,-1,2,2,1.0,0.554
cauanzin,LOUD,Gekko,0.95,205.7,45,50,17,-5,74.0,132.7,27.7,6,9,-3,3,1,0.33,0.515
Asuna,100T,Gekko,0.885,181.8,53,62,29,-9,70.0,114.2,25.0,3,10,-7,4,2,0.5,0.477
jawgemo,G2,Gekko,0.895,158.0,22,29,13,-7,71.0,104.5,26.5,1,5,-4,2,1,0.5,0.462
tex,MIBR,Gekko,0.645,126.0,18,29,8,-11,63.5,82.0,32.5,4,3,1,2,1,0.5,0.434
Boostio,100T,Gekko,0.647,137.0,31,48,20,-17,63.7,86.7,26.7,1,7,-6,3,1,0.33,0.401
Derrek,EG,Gekko,0.48,106.0,6,15,4,-9,53.0,78.0,31.0,0,2,-2,1,0,0.0,0.343
