Jogador,Time,Mapa,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
Demon1,ENVY,Ascent,1.025,222.5,26,28,17,-2,72.0,143.0,45.0,4,3,1,2,1,0.5,1.013
aspas,MIBR,Ascent,0.998,221.8,58,62,7,-4,74.0,145.2,34.2,14,13,1,4,0,0.0,0.99
Verno,MIBR,Ascent,0.942,209.2,58,57,25,1,66.2,133.0,29.8,2,5,-3,4,0,0.0,0.985
N4RRATE,SEN,Ascent,0.948,216.5,62,68,28,-6,75.5,146.2,25.5,13,5,8,4,2,0.5,0.981
Derrek,EG,Ascent,1.107,198.3,39,41,23,-2,65.7,151.0,29.3,3,4,-1,3,2,0.67,0.979
heat,FUR,Ascent,1.023,203.3,82,85,23,-3,67.3,136.5,28.8,12,12,0,6,1,0.17,0.979
s0m,NRG,Ascent,0.947,184.7,40,40,13,0,77.7,108.3,26.7,3,4,-1,3,1,0.33,0.966
Xeppaa,C9,Ascent,1.027,181.7,36,39,15,-3,76.7,121.7,30.7,3,2,1,3,1,0.33,0.958
Okeanos,EG,Ascent,0.913,187.3,33,38,29,-5,73.3,120.7,34.0,6,3,3,3,1,0.33,0.929
Palla,FUR,Ascent,0.87,206.7,37,44,13,-7,66.0,135.0,39.0,13,10,3,3,0,0.0,0.926
Askia,2G,Ascent,0.9,176.5,30,30,5,0,69.5,121.0,26.5,7,10,-3,2,0,0.0,0.924
supamen,EG,Ascent,0.93,164.3,38,40,29,-2,80.0,100.3,41.7,5,6,-1,3,2,0.67,0.907
spike,LEV,Ascent,1.01,206.0,38,44,32,-6,66.0,129.7,26.0,5,8,-3,3,0,0.0,0.903
cauanzin,LOUD,Ascent,0.875,204.0,26,31,11,-5,60.0,135.0,19.0,3,2,1,2,1,0.5,0.891
Zellsis,C9,Ascent,0.883,172.8,53,66,25,-13,69.0,113.8,23.2,7,4,3,4,2,0.5,0.881
Mazino,MIBR,Ascent,0.925,196.8,44,50,14,-6,66.2,129.5,22.5,3,4,-1,4,0,0.0,0.879
johnqt,SEN,Ascent,0.943,174.0,50,57,43,-7,69.0,116.8,24.5,4,4,0,4,2,0.5,0.879
zander,100T,Ascent,0.93,175.0,14,22,19,-8,79.0,125.0,19.0,2,3,-1,1,1,1.0,0.879
PxS,LEV,Ascent,0.875,162.0,24,31,26,-7,88.5,103.5,26.5,4,7,-3,2,0,0.0,0.869
RobbieBk,LOUD,Ascent,0.895,158.5,21,26,10,-5,72.5,112.5,35.5,1,1,0,2,1,0.5,0.868
icy,EG,Ascent,0.907,152.0,33,40,16,-7,68.3,100.3,30.0,5,2,3,3,2,0.67,0.866
tex,MIBR,Ascent,0.902,177.4,59,62,10,-3,62.4,119.4,33.6,3,11,-8,5,2,0.4,0.866
Melser,KRÜ,Ascent,0.98,154.2,36,40,26,-4,75.5,105.0,27.2,4,9,-5,4,0,0.0,0.861
gobera,2G,Ascent,0.926,183.0,64,74,25,-10,67.0,126.0,24.2,4,9,-5,5,0,0.0,0.857
xenom,MIBR,Ascent,0.87,180.0,50,59,33,-9,66.5,117.0,33.0,5,6,-1,4,0,0.0,0.85
tuyz,FUR,Ascent,0.817,153.3,29,40,26,-11,74.7,99.7,22.3,3,1,2,3,0,0.0,0.849
adverso,FUR,Ascent,0.842,179.5,43,56,15,-13,69.0,120.8,20.2,5,6,-1,4,0,0.0,0.839
Khalil,FUR,Ascent,0.883,172.0,33,41,10,-8,69.7,110.3,32.7,2,7,-5,3,1,0.33,0.838
havoc,FUR,Ascent,0.82,197.7,42,48,7,-6,56.3,125.3,39.7,14,16,-2,3,1,0.33,0.82
Shyy,KRÜ,Ascent,0.84,132.8,34,41,14,-7,72.5,86.2,18.5,4,3,1,4,0,0.0,0.807
FiNESSE,NRG,Ascent,0.85,159.0,10,14,3,-4,63.0,116.0,35.0,1,3,-2,1,0,0.0,0.806
kiNgg,LEV,Ascent,0.83,163.0,50,62,19,-12,60.8,109.8,28.6,11,12,-1,5,2,0.4,0.802
neT,C9,Ascent,0.77,169.7,34,45,11,-11,69.7,112.0,31.7,5,8,-3,3,1,0.33,0.802
eeiu,FUR,Ascent,0.86,140.0,13,18,9,-5,71.0,98.0,30.0,1,3,-2,1,1,1.0,0.798
cortezia,SEN,Ascent,0.765,177.2,55,62,12,-7,61.5,123.0,34.0,4,7,-3,4,0,0.0,0.795
Urango,FUR,Ascent,0.723,165.0,31,45,13,-14,68.3,116.7,35.3,1,5,-4,3,0,0.0,0.787
artzin,FUR,Ascent,0.565,149.8,35,65,32,-30,57.5,101.0,14.5,7,15,-8,4,0,0.0,0.664
raafa,FUR,Ascent,0.507,124.7,21,49,22,-28,62.3,87.7,17.0,2,5,-3,3,1,0.33,0.633
Rossy,ENVY,Ascent,0.565,95.0,12,25,9,-13,60.0,67.0,25.5,2,5,-3,2,1,0.5,0.614
pANcada,LOUD,Ascent,0.425,87.0,11,28,9,-17,57.5,63.0,25.0,0,5,-5,2,1,0.5,0.581
v1c,C9,Bind,1.712,287.0,77,33,23,44,91.2,176.5,35.0,12,4,8,4,3,0.75,1.421
Eggsterr,ENVY,Bind,1.63,330.0,28,13,5,15,82.0,196.0,31.0,2,1,1,1,1,1.0,1.403
OXY,C9,Bind,1.432,268.5,69,38,11,31,76.8,161.2,19.2,12,7,5,4,3,0.75,1.329
aspas,MIBR,Bind,1.375,262.3,125,83,23,42,79.2,175.7,23.7,22,12,10,6,3,0.5,1.329
Inspire,ENVY,Bind,1.3,248.0,21,13,6,8,86.0,149.0,37.0,4,3,1,1,1,1.0,1.304
Shyy,KRÜ,Bind,1.323,234.5,101,67,29,34,77.7,154.8,32.0,11,5,6,6,0,0.0,1.278
BABYBAY,G2,Bind,1.37,234.6,100,55,10,45,78.2,148.6,13.4,14,8,6,5,5,1.0,1.27
Cryocells,100T,Bind,1.234,231.6,255,177,47,78,77.7,146.5,24.3,39,30,9,13,8,0.62,1.235
valyn,G2,Bind,1.22,223.6,119,95,59,24,79.7,144.7,27.7,19,5,14,7,7,1.0,1.232
Neon,LEV,Bind,1.237,216.0,47,33,10,14,80.3,139.0,23.7,15,3,12,3,2,0.67,1.225
Asuna,100T,Bind,1.167,235.6,222,187,97,35,76.0,153.5,20.8,52,28,24,13,8,0.62,1.215
Xeppaa,C9,Bind,1.182,220.2,52,41,33,11,79.2,138.8,25.0,7,1,6,4,3,0.75,1.209
mitch,C9,Bind,1.26,183.5,18,12,15,6,87.0,117.5,18.0,5,2,3,2,2,1.0,1.202
s0m,NRG,Bind,1.162,215.7,95,86,72,9,83.0,139.7,22.3,8,12,-4,6,2,0.33,1.158
JonahP,G2,Bind,1.203,214.3,49,37,25,12,77.0,135.7,27.7,2,7,-5,3,3,1.0,1.155
PxS,LEV,Bind,1.22,208.0,15,13,4,2,59.0,137.0,20.0,3,1,2,1,0,0.0,1.149
zander,100T,Bind,1.039,201.0,116,106,34,10,76.6,129.6,25.5,23,11,12,8,5,0.62,1.136
zekken,MIBR,Bind,1.047,200.5,63,55,20,8,75.5,130.5,21.2,13,11,2,4,3,0.75,1.132
Melser,KRÜ,Bind,1.068,196.5,85,78,44,7,78.3,124.2,25.5,7,6,1,6,0,0.0,1.126
Virtyy,LOUD,Bind,1.098,222.2,66,60,22,6,73.8,144.2,20.2,13,19,-6,4,1,0.25,1.119
bang,100T,Bind,1.12,202.1,112,97,31,15,72.3,132.1,41.7,11,15,-4,7,4,0.57,1.116
Okeanos,EG,Bind,1.005,213.0,71,68,26,3,70.5,134.0,39.0,11,6,5,4,1,0.25,1.115
trent,G2,Bind,1.064,180.3,103,97,51,6,71.6,118.6,25.9,11,7,4,7,7,1.0,1.095
cortezia,SEN,Bind,1.068,215.2,93,77,18,16,66.2,137.4,37.0,7,12,-5,5,1,0.2,1.094
kiNgg,LEV,Bind,1.05,204.7,90,80,31,10,69.3,135.2,33.0,5,8,-3,6,3,0.5,1.084
neT,C9,Bind,1.095,155.5,19,11,10,8,87.5,98.5,31.5,2,3,-1,2,2,1.0,1.079
adverso,KRÜ,Bind,1.092,203.5,55,50,30,5,68.8,126.8,19.0,8,10,-2,4,0,0.0,1.074
Sato,LEV,Bind,0.992,208.8,95,87,23,8,67.0,143.3,36.7,20,25,-5,6,3,0.5,1.072
eeiu,FUR,Bind,1.054,176.6,142,125,62,17,73.4,111.5,33.9,11,13,-2,10,5,0.5,1.071
keznit,ENVY,Bind,1.016,206.1,96,96,41,0,73.3,138.0,21.7,22,18,4,7,1,0.14,1.052
Verno,MIBR,Bind,0.998,188.5,88,86,47,2,75.0,116.0,35.3,10,9,1,6,4,0.67,1.041
skuba,NRG,Bind,1.004,189.8,76,69,22,7,67.8,125.4,21.2,6,10,-4,5,1,0.2,1.035
mada,NRG,Bind,0.977,225.4,118,115,23,3,62.4,138.0,23.6,33,34,-1,7,2,0.29,1.028
leaf,G2,Bind,0.992,205.0,94,92,30,2,68.2,138.3,26.3,12,15,-3,6,6,1.0,1.01
N4RRATE,SEN,Bind,0.963,224.0,51,53,13,-2,71.0,139.7,23.0,17,9,8,3,1,0.33,0.996
Kess,100T,Bind,1.056,189.0,64,68,58,-4,75.2,117.4,28.8,10,7,3,5,4,0.8,0.987
NagZ,KRÜ,Bind,1.08,204.0,13,13,1,0,53.0,116.0,35.0,0,0,0,1,0,0.0,0.984
pANcada,LOUD,Bind,0.994,185.6,62,75,49,-13,72.8,134.0,37.6,6,4,2,5,1,0.2,0.959
Rossy,ENVY,Bind,0.87,186.0,13,15,7,-2,77.0,133.0,31.0,3,1,2,1,1,1.0,0.932
lukxo,LOUD,Bind,0.903,190.2,57,60,16,-3,67.5,127.2,28.0,7,5,2,4,1,0.25,0.93
dgzin,EG,Bind,0.823,195.3,52,52,8,0,58.0,128.0,36.7,11,11,0,3,0,0.0,0.923
Timotino,100T,Bind,0.994,205.8,81,87,27,-6,68.6,138.0,25.8,14,16,-2,5,3,0.6,0.916
koalanoob,FUR,Bind,0.975,201.0,29,31,2,-2,60.0,123.5,24.5,7,4,3,2,0,0.0,0.916
Reduxx,SEN,Bind,0.85,191.0,18,18,2,0,62.0,123.0,32.0,2,4,-2,1,0,0.0,0.906
blowz,LEV,Bind,0.99,155.8,46,49,24,-3,70.0,101.8,30.2,5,4,1,4,2,0.5,0.906
yay,EG,Bind,0.93,188.0,11,13,7,-2,71.0,120.0,30.0,1,1,0,1,0,0.0,0.899
tex,MIBR,Bind,0.898,164.2,47,55,24,-8,71.2,108.8,28.0,9,5,4,4,3,0.75,0.885
bao,EG,Bind,0.89,197.5,29,39,22,-10,67.5,138.5,26.0,1,9,-8,2,0,0.0,0.871
Dantedeu5,KRÜ,Bind,0.867,187.7,40,47,12,-7,66.3,126.0,30.3,10,11,-1,3,0,0.0,0.855
RobbieBk,LOUD,Bind,0.913,176.0,39,45,19,-6,67.3,114.3,37.0,2,6,-4,3,1,0.33,0.851
keiko,NRG,Bind,0.89,181.0,14,18,3,-4,64.0,117.0,48.0,1,2,-1,1,0,0.0,0.849
johnqt,SEN,Bind,0.94,136.0,31,40,22,-9,75.0,90.7,23.0,1,1,0,3,1,0.33,0.843
tuyz,FUR,Bind,0.94,154.0,19,27,13,-8,59.5,103.0,46.0,3,3,0,2,0,0.0,0.843
cauanzin,LOUD,Bind,0.82,184.2,63,80,27,-17,71.4,116.0,26.6,9,12,-3,5,1,0.2,0.832
nerve,FUR,Bind,0.83,146.0,18,26,15,-8,67.0,103.5,24.5,1,0,1,2,0,0.0,0.831
vora,100T,Bind,0.84,168.0,67,83,44,-16,72.6,106.8,29.8,5,7,-2,5,3,0.6,0.83
icy,EG,Bind,0.94,196.0,10,15,4,-5,47.0,136.0,26.0,2,3,-1,1,0,0.0,0.827
supamen,EG,Bind,0.87,153.3,36,46,14,-10,67.7,106.3,35.0,6,7,-1,3,0,0.0,0.821
Zellsis,C9,Bind,0.925,157.0,43,52,34,-9,68.8,98.2,23.8,5,7,-2,4,2,0.5,0.819
NaturE,EG,Bind,0.86,174.0,11,13,4,-2,71.0,105.0,15.0,1,3,-2,1,0,0.0,0.814
Mazino,MIBR,Bind,0.829,168.1,97,114,58,-17,69.2,104.0,24.9,11,20,-9,8,2,0.25,0.805
penny,C9,Bind,0.82,171.5,24,29,10,-5,62.5,120.0,27.0,4,6,-2,2,1,0.5,0.801
jawgemo,G2,Bind,0.75,176.1,91,114,32,-23,70.9,115.3,20.1,23,31,-8,7,7,1.0,0.796
xenom,MIBR,Bind,0.798,157.0,51,66,29,-15,68.2,99.8,35.5,3,7,-4,4,1,0.25,0.79
spike,LEV,Bind,0.752,168.8,55,74,24,-19,65.8,110.0,28.8,8,10,-2,5,2,0.4,0.786
FiNESSE,NRG,Bind,0.835,160.5,22,28,11,-6,66.0,104.5,15.5,5,6,-1,2,1,0.5,0.783
Ethan,NRG,Bind,0.773,151.0,78,113,69,-35,67.7,96.3,23.1,5,14,-9,7,2,0.29,0.763
Governor,KRÜ,Bind,0.71,150.0,8,14,6,-6,59.0,97.0,29.0,0,0,0,1,0,0.0,0.75
C0M,EG,Bind,0.76,137.8,43,67,33,-24,65.2,92.0,27.5,5,9,-4,4,1,0.25,0.743
pryze,2G,Bind,0.7,165.0,8,14,1,-6,57.0,94.0,21.0,0,0,0,1,0,0.0,0.743
brawk,NRG,Bind,0.742,143.0,54,81,36,-27,64.4,95.6,20.6,5,7,-2,5,1,0.2,0.74
lz,2G,Bind,0.41,137.0,5,14,5,-9,64.0,90.0,41.0,1,0,1,1,0,0.0,0.715
P0PPIN,ENVY,Bind,0.67,116.0,8,13,8,-5,73.0,69.0,14.0,2,2,0,1,1,1.0,0.711
Kyu,SEN,Bind,0.71,129.0,12,17,9,-5,65.0,77.0,24.0,0,4,-4,1,0,0.0,0.704
Boostio,100T,Bind,0.647,137.0,31,48,20,-17,63.7,86.7,26.7,1,7,-6,3,1,0.33,0.698
Darker,LOUD,Bind,0.54,157.0,10,17,3,-7,53.0,104.0,29.0,3,3,0,1,0,0.0,0.693
artzin,FUR,Bind,0.568,145.5,63,107,36,-44,64.3,97.7,29.0,13,23,-10,6,1,0.17,0.693
v1nny,LOUD,Bind,0.58,113.0,5,13,12,-8,67.0,87.0,33.0,0,3,-3,1,0,0.0,0.674
heat,FUR,Bind,0.59,120.0,6,15,3,-9,53.0,99.0,28.0,0,1,-1,1,0,0.0,0.649
Palla,FUR,Bind,0.57,164.0,8,16,3,-8,35.0,111.0,18.0,1,3,-2,1,0,0.0,0.632
alym,FUR,Bind,0.555,128.5,19,31,5,-12,55.0,78.0,26.0,5,10,-5,2,0,0.0,0.632
benG,KRÜ,Bind,0.57,110.0,5,12,6,-7,53.0,69.0,17.0,1,1,0,1,0,0.0,0.625
infiltrator,KRÜ,Bind,0.49,139.0,7,15,2,-8,41.0,90.0,32.0,3,7,-4,1,0,0.0,0.597
Urango,FUR,Bind,0.37,102.0,6,15,4,-9,47.0,50.0,14.0,2,1,1,1,0,0.0,0.594
Derrek,EG,Bind,0.48,106.0,6,15,4,-9,53.0,78.0,31.0,0,2,-2,1,0,0.0,0.593
nzr,MIBR,Bind,0.505,114.5,15,33,12,-18,51.0,86.5,18.0,2,5,-3,2,0,0.0,0.593
mta,KRÜ,Bind,0.33,72.0,4,13,1,-9,47.0,45.0,27.0,0,5,-5,1,0,0.0,0.554
gobera,2G,Bind,0.27,100.0,4,14,0,-10,29.0,70.0,31.0,1,2,-1,1,0,0.0,0.537
silentzz,2G,Bind,0.04,72.0,3,14,1,-11,21.0,48.0,7.0,1,4,-3,1,0,0.0,0.5
valyn,G2,Breeze,1.96,337.0,25,7,10,18,100.0,223.0,26.0,1,0,1,1,1,1.0,1.448
johnqt,SEN,Breeze,1.75,253.0,25,8,5,17,92.0,170.0,39.0,0,0,0,1,0,0.0,1.37
keznit,ENVY,Breeze,1.34,283.0,44,29,4,15,77.0,168.5,32.5,14,6,8,2,2,1.0,1.331
OXY,C9,Breeze,1.195,283.0,42,33,11,9,74.0,177.0,19.5,11,8,3,2,1,0.5,1.273
zekken,MIBR,Breeze,1.297,237.3,46,36,16,10,80.7,150.3,27.0,11,6,5,3,2,0.67,1.273
kiNgg,LEV,Breeze,1.39,223.0,17,13,3,4,65.0,139.0,39.0,3,0,3,1,0,0.0,1.248
Inspire,ENVY,Breeze,1.205,218.5,35,24,11,11,74.5,142.0,35.5,1,0,1,2,2,1.0,1.214
aspas,MIBR,Breeze,1.17,227.7,47,35,5,12,71.0,150.3,41.3,10,5,5,3,2,0.67,1.212
Neon,LEV,Breeze,1.26,234.0,16,14,2,2,70.0,167.0,36.0,3,4,-1,1,0,0.0,1.201
Rossy,ENVY,Breeze,1.19,222.5,35,25,7,10,77.0,144.5,25.5,4,4,0,2,2,1.0,1.187
Verno,MIBR,Breeze,1.2,194.0,36,31,21,5,81.3,134.0,42.0,3,3,0,3,2,0.67,1.185
Cryocells,100T,Breeze,1.13,218.0,20,17,2,3,63.0,149.0,46.0,3,0,3,1,0,0.0,1.172
P0PPIN,ENVY,Breeze,0.945,199.0,32,30,9,2,86.0,122.5,48.5,4,3,1,2,2,1.0,1.145
pANcada,LOUD,Breeze,1.12,189.0,16,15,10,1,71.0,138.0,21.0,1,0,1,1,1,1.0,1.139
artzin,FUR,Breeze,1.083,201.3,47,37,14,10,71.3,124.7,31.7,3,2,1,3,2,0.67,1.129
v1c,C9,Breeze,1.193,195.7,48,33,14,15,71.7,130.7,31.7,1,6,-5,3,1,0.33,1.122
Mazino,MIBR,Breeze,0.997,203.3,42,38,14,4,72.7,133.7,35.3,3,2,1,3,2,0.67,1.118
Virtyy,LOUD,Breeze,1.09,234.0,23,18,1,5,71.0,141.0,22.0,2,4,-2,1,1,1.0,1.118
jawgemo,G2,Breeze,0.94,274.0,17,17,4,0,68.0,178.0,31.0,5,3,2,1,1,1.0,1.108
keiko,NRG,Breeze,1.05,212.5,34,31,7,3,69.5,137.5,26.5,2,6,-4,2,1,0.5,1.087
cauanzin,LOUD,Breeze,0.92,205.0,18,17,6,1,71.0,132.0,20.0,2,1,1,1,1,1.0,1.084
penny,C9,Breeze,0.95,192.3,45,41,13,4,65.3,122.7,23.3,10,9,1,3,1,0.33,1.056
koalanoob,FUR,Breeze,1.017,228.3,48,47,10,1,71.7,137.3,22.0,10,11,-1,3,2,0.67,1.048
N4RRATE,SEN,Breeze,0.98,210.0,19,17,2,2,54.0,145.0,40.0,3,6,-3,1,0,0.0,1.038
Timotino,100T,Breeze,0.97,246.0,21,21,2,0,67.0,165.0,31.0,5,6,-1,1,0,0.0,1.032
skuba,NRG,Breeze,1.03,194.0,30,29,6,1,70.0,128.5,36.5,3,5,-2,2,1,0.5,1.031
mada,NRG,Breeze,1.0,197.5,30,28,8,2,60.5,123.5,34.0,4,10,-6,2,1,0.5,1.03
BABYBAY,G2,Breeze,1.01,170.0,11,11,4,0,79.0,120.0,23.0,5,2,3,1,1,1.0,1.025
Demon1,ENVY,Breeze,0.99,232.0,16,16,4,0,62.0,151.0,33.0,2,5,-3,1,0,0.0,1.004
lukxo,LOUD,Breeze,1.04,181.0,16,16,5,0,75.0,126.0,34.0,2,7,-5,1,1,1.0,0.996
Darker,LOUD,Breeze,1.06,187.0,16,16,5,0,75.0,128.0,18.0,2,3,-1,1,1,1.0,0.993
leaf,G2,Breeze,0.94,145.0,12,10,2,2,68.0,87.0,32.0,0,1,-1,1,1,1.0,0.961
brawk,NRG,Breeze,1.005,199.0,27,30,12,-3,69.5,138.0,21.5,3,1,2,2,1,0.5,0.958
trent,G2,Breeze,0.89,147.0,10,10,4,0,79.0,115.0,63.0,0,2,-2,1,1,1.0,0.945
alym,FUR,Breeze,0.817,184.7,42,41,12,1,64.7,115.3,30.0,13,13,0,3,2,0.67,0.941
vora,100T,Breeze,0.94,182.0,16,17,6,-1,71.0,119.0,23.0,4,0,4,1,0,0.0,0.915
Xeppaa,C9,Breeze,0.907,165.3,37,42,14,-5,78.0,108.0,26.0,4,2,2,3,1,0.33,0.905
bang,100T,Breeze,0.86,192.0,15,18,7,-3,67.0,138.0,36.0,0,0,0,1,0,0.0,0.889
Kyu,SEN,Breeze,0.95,197.0,15,18,8,-3,63.0,136.0,27.0,1,2,-1,1,0,0.0,0.875
mta,KRÜ,Breeze,0.93,180.0,27,30,10,-3,65.5,112.0,27.5,3,3,0,2,0,0.0,0.869
tex,MIBR,Breeze,0.797,157.0,32,40,6,-8,66.0,110.3,44.0,7,5,2,3,2,0.67,0.849
