Jogador,Time,Mapa,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Jogos,Wins,WinRate,Impacto
cortezia,SEN,Breeze,0.72,163.0,13,17,3,-4,63.0,113.0,50.0,4,0,4,1,0,0.0,0.828
Ethan,NRG,Breeze,0.87,165.5,26,32,15,-6,72.0,111.0,20.0,4,5,-1,2,1,0.5,0.824
NagZ,KRÜ,Breeze,0.91,145.5,22,28,6,-6,63.0,107.5,24.5,5,5,0,2,0,0.0,0.823
infiltrator,KRÜ,Breeze,0.75,196.0,28,37,10,-9,67.5,121.5,29.0,7,9,-2,2,0,0.0,0.816
benG,KRÜ,Breeze,0.875,168.0,27,33,6,-6,62.5,104.5,40.0,2,3,-1,2,0,0.0,0.814
eeiu,FUR,Breeze,0.783,137.3,29,39,12,-10,72.7,95.7,33.0,2,2,0,3,2,0.67,0.802
Governor,KRÜ,Breeze,0.805,174.5,25,35,8,-10,64.5,115.5,24.0,1,5,-4,2,0,0.0,0.798
Asuna,100T,Breeze,0.83,139.0,10,16,16,-6,71.0,84.0,23.0,3,3,0,1,0,0.0,0.795
Eggsterr,ENVY,Breeze,0.77,127.0,20,27,11,-7,69.5,88.5,32.5,3,4,-1,2,2,1.0,0.75
blowz,LEV,Breeze,0.66,161.0,11,16,1,-5,50.0,103.0,21.0,1,0,1,1,0,0.0,0.741
nerve,FUR,Breeze,0.657,130.7,23,40,20,-17,64.3,94.0,14.7,2,2,0,3,2,0.67,0.716
Zellsis,C9,Breeze,0.59,116.7,23,49,26,-26,57.7,73.7,17.0,1,4,-3,3,1,0.33,0.628
spike,LEV,Breeze,0.41,131.0,8,18,3,-10,55.0,88.0,26.0,2,4,-2,1,0,0.0,0.622
Sato,LEV,Breeze,0.43,83.0,6,16,4,-10,65.0,68.0,29.0,1,2,-1,1,0,0.0,0.609
Reduxx,SEN,Breeze,0.4,100.0,6,18,4,-12,58.0,72.0,35.0,3,5,-2,1,0,0.0,0.601
dgzin,EG,Corrode,1.665,319.0,48,26,9,22,78.5,211.0,34.5,8,3,5,2,1,0.5,1.397
silentzz,2G,Corrode,1.61,255.0,26,13,8,13,88.0,165.0,47.0,2,0,2,1,0,0.0,1.387
eeiu,FUR,Corrode,1.425,278.0,44,25,10,19,81.5,180.5,34.0,3,3,0,2,2,1.0,1.351
Cryocells,100T,Corrode,1.312,231.5,108,69,9,39,84.2,155.7,35.0,20,6,14,6,5,0.83,1.293
zekken,MIBR,Corrode,1.226,247.3,126,101,40,25,77.4,159.6,29.9,26,21,5,7,5,0.71,1.26
brawk,NRG,Corrode,1.26,245.0,101,75,24,26,71.5,158.5,21.3,13,5,8,6,5,0.83,1.243
cauanzin,LOUD,Corrode,1.33,221.0,19,11,3,8,68.0,152.0,33.0,2,1,1,1,0,0.0,1.242
penny,C9,Corrode,1.33,272.0,22,17,4,5,67.0,168.0,18.0,2,4,-2,1,0,0.0,1.227
vora,100T,Corrode,1.17,215.2,59,49,21,10,83.5,148.8,30.0,11,9,2,4,3,0.75,1.226
johnqt,SEN,Corrode,1.245,212.8,101,71,40,30,79.5,134.8,28.2,9,1,8,6,3,0.5,1.223
leaf,G2,Corrode,1.178,233.8,63,54,18,9,73.8,152.5,22.5,8,5,3,4,2,0.5,1.212
yay,EG,Corrode,1.142,259.0,79,65,9,14,67.5,162.2,33.2,16,15,1,4,2,0.5,1.209
zander,100T,Corrode,1.185,208.5,32,26,30,6,82.0,130.5,32.0,6,2,4,2,2,1.0,1.208
mada,NRG,Corrode,1.168,227.5,97,76,28,21,71.3,148.3,27.0,23,19,4,6,5,0.83,1.199
Derrek,EG,Corrode,1.11,230.5,71,64,21,7,74.0,142.8,38.0,7,5,2,4,2,0.5,1.195
s0m,NRG,Corrode,1.158,194.2,60,45,38,15,81.0,124.0,29.0,10,7,3,4,4,1.0,1.178
Sato,LEV,Corrode,1.135,268.0,44,36,5,8,67.5,164.0,30.0,8,9,-1,2,1,0.5,1.175
Verno,MIBR,Corrode,1.112,196.8,57,50,22,7,79.2,133.5,34.8,9,2,7,4,3,0.75,1.174
Kess,100T,Corrode,1.165,193.5,28,24,16,4,79.5,121.0,20.5,2,1,1,2,2,1.0,1.165
aspas,MIBR,Corrode,1.112,208.2,66,50,10,16,72.0,139.2,28.5,15,8,7,4,3,0.75,1.162
Asuna,100T,Corrode,1.162,196.8,79,68,53,11,80.0,121.8,22.2,12,11,1,6,5,0.83,1.154
skuba,NRG,Corrode,1.077,180.3,82,67,38,15,81.3,118.3,32.3,12,4,8,6,5,0.83,1.142
Kyu,SEN,Corrode,1.085,216.5,34,32,12,2,64.0,140.5,20.5,5,4,1,2,0,0.0,1.132
Okeanos,EG,Corrode,0.967,202.0,47,44,14,3,71.7,140.0,36.7,8,7,1,3,1,0.33,1.111
Timotino,100T,Corrode,0.992,225.0,63,55,22,8,70.8,144.5,26.2,13,14,-1,4,3,0.75,1.1
pryze,2G,Corrode,1.13,246.0,20,21,17,-1,85.0,170.0,20.0,3,1,2,1,0,0.0,1.099
Mazino,MIBR,Corrode,1.066,218.4,79,73,34,6,67.6,140.4,29.0,3,12,-9,5,2,0.4,1.095
bang,100T,Corrode,1.09,173.4,104,89,61,15,78.4,106.6,32.2,9,11,-2,8,6,0.75,1.086
kiNgg,LEV,Corrode,0.995,190.0,31,30,11,1,71.5,113.0,35.5,4,3,1,2,1,0.5,1.058
valyn,G2,Corrode,0.978,209.2,122,117,43,5,67.6,128.9,25.0,13,13,0,8,3,0.38,1.045
Zellsis,C9,Corrode,1.006,196.8,71,69,34,2,77.8,124.6,20.6,6,7,-1,5,3,0.6,1.037
blowz,LEV,Corrode,1.14,167.0,14,11,5,3,61.0,101.0,23.0,0,2,-2,1,1,1.0,1.023
xenom,MIBR,Corrode,1.08,146.0,10,10,14,0,82.0,99.0,26.0,2,1,1,1,1,1.0,1.022
supamen,EG,Corrode,0.988,198.2,85,85,30,0,65.8,134.7,36.2,10,8,2,6,3,0.5,1.019
spike,LEV,Corrode,0.89,241.0,38,40,17,-2,77.5,155.0,29.5,11,6,5,2,1,0.5,0.998
Ethan,NRG,Corrode,1.02,194.2,72,82,65,-10,76.5,126.2,23.3,15,6,9,6,5,0.83,0.97
mitch,C9,Corrode,1.047,197.0,42,43,29,-1,71.3,119.7,21.7,2,8,-6,3,1,0.33,0.96
adverso,FUR,Corrode,0.98,207.7,42,48,22,-6,77.7,131.7,18.0,5,5,0,3,1,0.33,0.945
Inspire,ENVY,Corrode,1.005,181.0,31,32,9,-1,66.0,128.0,44.0,3,7,-4,2,1,0.5,0.933
keznit,ENVY,Corrode,0.966,212.8,72,79,28,-7,67.2,139.2,25.8,13,13,0,5,1,0.2,0.93
JonahP,G2,Corrode,1.015,174.0,49,53,29,-4,77.0,114.2,24.8,6,7,-1,4,1,0.25,0.909
Eggsterr,ENVY,Corrode,0.837,190.3,45,53,17,-8,74.3,123.0,29.3,12,6,6,3,1,0.33,0.908
Palla,FUR,Corrode,0.89,231.7,48,53,13,-5,64.3,150.0,29.0,9,16,-7,3,1,0.33,0.901
cortezia,SEN,Corrode,0.91,181.3,43,48,13,-5,68.0,130.7,42.0,3,3,0,3,1,0.33,0.898
Xeppaa,C9,Corrode,0.885,179.0,53,63,31,-10,69.2,120.8,22.8,7,5,2,4,1,0.25,0.892
v1c,C9,Corrode,0.86,176.5,50,64,39,-14,72.2,111.5,26.8,7,5,2,4,1,0.25,0.887
N4RRATE,SEN,Corrode,0.848,179.3,78,96,42,-18,74.0,110.7,22.0,17,9,8,6,3,0.5,0.886
trent,G2,Corrode,0.929,172.2,91,108,60,-17,72.2,115.2,27.2,8,9,-1,8,3,0.38,0.877
Neon,LEV,Corrode,0.84,154.0,14,14,3,0,65.0,107.0,19.0,2,3,-1,1,1,1.0,0.857
Rossy,ENVY,Corrode,0.93,179.0,41,50,30,-9,67.3,115.0,31.0,1,4,-3,3,1,0.33,0.854
neT,C9,Corrode,0.87,160.3,34,41,15,-7,77.7,109.3,30.7,3,7,-4,3,1,0.33,0.844
NaturE,EG,Corrode,0.883,168.0,48,57,31,-9,70.5,114.2,21.0,5,6,-1,4,2,0.5,0.842
Virtyy,LOUD,Corrode,0.81,208.0,15,18,5,-3,59.0,118.0,27.0,5,5,0,1,0,0.0,0.841
gobera,2G,Corrode,0.79,163.0,15,17,5,-2,69.0,107.0,23.0,2,1,1,1,0,0.0,0.839
tex,MIBR,Corrode,0.84,183.0,56,64,18,-8,66.8,117.8,25.8,9,15,-6,4,2,0.5,0.825
jawgemo,G2,Corrode,0.789,194.2,102,129,41,-27,66.1,125.2,26.9,20,33,-13,8,3,0.38,0.824
C0M,EG,Corrode,0.773,155.0,33,43,15,-10,71.0,99.3,16.0,4,2,2,3,1,0.33,0.82
BABYBAY,G2,Corrode,0.829,174.9,97,113,33,-16,69.4,115.2,23.2,13,24,-11,8,3,0.38,0.818
tuyz,FUR,Corrode,0.81,153.0,33,43,16,-10,70.3,104.7,25.7,3,3,0,3,1,0.33,0.817
icy,EG,Corrode,0.77,176.2,55,64,15,-9,70.0,117.0,27.5,7,16,-9,4,2,0.5,0.809
Shyy,KRÜ,Corrode,0.8,170.5,21,27,5,-6,68.0,115.0,23.0,2,5,-3,2,0,0.0,0.802
OXY,C9,Corrode,0.76,182.2,55,69,14,-14,62.2,121.2,31.5,13,20,-7,4,1,0.25,0.796
Demon1,ENVY,Corrode,0.84,140.0,10,14,1,-4,67.0,105.0,33.0,0,2,-2,1,0,0.0,0.789
artzin,FUR,Corrode,0.76,179.0,14,15,3,-1,64.0,130.0,15.0,2,6,-4,1,1,1.0,0.788
Urango,FUR,Corrode,0.767,158.7,33,49,22,-16,69.0,98.0,34.7,0,9,-9,3,1,0.33,0.782
Reduxx,SEN,Corrode,0.83,149.5,24,32,13,-8,66.0,100.0,26.5,9,12,-3,2,0,0.0,0.781
keiko,NRG,Corrode,0.63,167.5,25,35,10,-10,58.5,108.5,32.0,5,4,1,2,1,0.5,0.775
heat,FUR,Corrode,0.72,158.0,33,47,12,-14,60.7,116.3,37.7,4,6,-2,3,1,0.33,0.761
P0PPIN,ENVY,Corrode,0.67,157.0,36,51,21,-15,65.7,96.0,38.3,5,8,-3,3,1,0.33,0.743
Melser,KRÜ,Corrode,0.775,136.0,19,26,11,-7,62.0,89.0,23.5,2,3,-1,2,0,0.0,0.731
Dantedeu5,KRÜ,Corrode,0.645,152.0,18,30,5,-12,62.0,101.0,32.5,5,8,-3,2,0,0.0,0.721
pANcada,LOUD,Corrode,0.58,122.0,9,19,6,-10,50.0,84.0,30.0,1,0,1,1,0,0.0,0.679
lukxo,LOUD,Corrode,0.65,149.0,10,17,4,-7,45.0,104.0,30.0,1,4,-3,1,0,0.0,0.674
lz,2G,Corrode,0.59,114.0,11,18,8,-7,65.0,71.0,34.0,2,3,-1,1,0,0.0,0.66
bao,EG,Corrode,0.46,84.0,11,30,19,-19,68.5,55.5,26.0,0,4,-4,2,1,0.5,0.612
RobbieBk,LOUD,Corrode,0.58,97.0,8,15,1,-7,45.0,59.0,35.0,1,2,-1,1,0,0.0,0.584
cauanzin,LOUD,Fracture,1.79,290.0,18,6,7,12,88.0,203.0,31.0,3,1,2,1,1,1.0,1.42
dgzin,EG,Fracture,1.53,276.0,17,9,5,8,94.0,167.0,29.0,2,0,2,1,1,1.0,1.408
trent,G2,Fracture,1.477,241.0,60,36,11,24,86.0,159.0,28.7,11,3,8,3,2,0.67,1.352
mada,NRG,Fracture,1.386,281.0,106,74,17,32,75.4,183.0,24.4,27,20,7,5,2,0.4,1.343
pANcada,LOUD,Fracture,1.49,217.0,11,7,11,4,100.0,155.0,29.0,2,2,0,1,1,1.0,1.343
tuyz,LOUD,Fracture,1.39,243.0,13,6,12,7,100.0,158.0,18.0,2,2,0,1,1,1.0,1.331
Cryocells,100T,Fracture,1.373,240.7,60,36,8,24,81.7,163.3,34.0,9,3,6,3,2,0.67,1.318
zander,100T,Fracture,1.363,243.3,55,39,28,16,79.3,151.0,24.7,10,7,3,3,2,0.67,1.292
v1nny,LOUD,Fracture,1.17,232.0,15,12,12,3,88.0,145.0,30.0,1,1,0,1,1,1.0,1.223
Khalil,FUR,Fracture,1.16,236.5,31,28,8,3,75.0,156.5,29.0,2,0,2,2,0,0.0,1.221
leaf,G2,Fracture,1.197,233.3,54,43,20,11,71.7,159.7,26.0,4,4,0,3,2,0.67,1.196
nataNk,LEV,Fracture,1.04,253.0,19,17,4,2,73.0,167.0,24.0,7,5,2,1,0,0.0,1.196
eeiu,FUR,Fracture,1.12,187.7,47,39,18,8,86.3,139.3,29.3,3,3,0,3,2,0.67,1.164
Xeppaa,C9,Fracture,1.167,243.7,59,51,14,8,70.0,155.0,18.0,6,8,-2,3,2,0.67,1.153
Demon1,ENVY,Fracture,1.107,219.7,56,53,37,3,78.7,147.3,38.0,4,6,-2,3,1,0.33,1.152
NaturE,EG,Fracture,1.147,190.7,47,39,29,8,78.3,119.7,22.0,2,1,1,3,2,0.67,1.146
s0m,NRG,Fracture,1.08,193.6,73,69,63,4,81.4,125.2,30.4,12,10,2,5,2,0.4,1.137
C0M,EG,Fracture,1.083,189.7,50,45,15,5,75.7,130.3,25.3,3,2,1,3,1,0.33,1.131
yay,EG,Fracture,1.057,223.3,50,48,14,2,68.3,145.0,26.7,12,5,7,3,2,0.67,1.125
v1c,C9,Fracture,1.11,179.7,44,42,33,2,84.0,111.0,27.7,6,3,3,3,2,0.67,1.124
supamen,EG,Fracture,1.14,198.7,41,40,40,1,74.0,141.0,33.0,7,6,1,3,2,0.67,1.116
Ethan,NRG,Fracture,1.086,183.4,67,65,46,2,82.4,119.8,22.2,5,2,3,5,2,0.4,1.097
icy,EG,Fracture,1.01,250.3,57,56,12,1,77.0,165.0,25.0,10,14,-4,3,2,0.67,1.095
valyn,G2,Fracture,1.0,198.0,45,46,30,-1,74.3,130.0,19.0,7,4,3,3,2,0.67,1.01
tex,MIBR,Fracture,0.953,208.0,53,53,18,0,69.0,143.0,34.7,4,12,-8,3,1,0.33,0.989
Derrek,EG,Fracture,0.967,174.0,43,42,18,1,72.3,114.7,29.7,2,6,-4,3,2,0.67,0.973
OXY,C9,Fracture,0.873,219.3,47,57,20,-10,74.3,149.0,24.7,13,12,1,3,2,0.67,0.95
jawgemo,G2,Fracture,0.873,219.3,47,52,16,-5,75.7,131.3,12.7,13,9,4,3,2,0.67,0.934
Boostio,100T,Fracture,1.0,175.3,38,44,43,-6,79.0,113.0,25.3,1,1,0,3,2,0.67,0.923
Melser,KRÜ,Fracture,0.905,198.5,28,31,8,-3,71.5,120.0,23.0,5,2,3,2,0,0.0,0.919
Asuna,100T,Fracture,0.823,215.0,45,54,20,-9,65.0,138.3,27.0,15,12,3,3,2,0.67,0.908
mitch,C9,Fracture,0.993,184.7,39,44,31,-5,71.7,120.0,18.7,7,7,0,3,2,0.67,0.907
JonahP,G2,Fracture,0.91,162.3,38,46,35,-8,77.3,95.3,23.7,6,3,3,3,2,0.67,0.89
kiNgg,LEV,Fracture,0.88,194.0,50,56,29,-6,72.0,123.0,21.7,9,11,-2,3,1,0.33,0.861
neT,C9,Fracture,0.92,160.3,38,43,18,-5,73.0,110.3,33.7,2,3,-1,3,2,0.67,0.859
Rossy,ENVY,Fracture,0.855,189.5,34,39,20,-5,76.0,111.5,24.5,2,8,-6,2,1,0.5,0.854
Verno,MIBR,Fracture,0.83,156.0,14,16,3,-2,81.0,102.0,25.0,1,1,0,1,0,0.0,0.852
Zellsis,C9,Fracture,0.85,194.0,11,15,5,-4,56.0,161.0,24.0,0,5,-5,1,0,0.0,0.84
keznit,ENVY,Fracture,0.8,197.5,26,33,8,-7,64.0,129.0,25.0,7,8,-1,2,0,0.0,0.825
brawk,NRG,Fracture,0.845,158.0,48,55,22,-7,76.5,110.5,19.5,3,7,-4,4,2,0.5,0.822
Shyy,KRÜ,Fracture,0.83,161.5,24,28,3,-4,52.5,107.5,24.5,3,2,1,2,0,0.0,0.807
johnqt,SEN,Fracture,0.9,163.0,9,14,6,-5,56.0,120.0,31.0,0,2,-2,1,0,0.0,0.805
adverso,KRÜ,Fracture,0.84,158.0,19,29,11,-10,67.0,120.0,17.5,2,3,-1,2,0,0.0,0.8
zekken,MIBR,Fracture,0.88,160.0,10,13,2,-3,61.0,113.0,25.0,2,3,-1,1,0,0.0,0.799
N4RRATE,SEN,Fracture,0.74,151.0,9,15,4,-6,61.0,103.0,30.0,2,1,1,1,0,0.0,0.796
Mazino,MIBR,Fracture,0.715,170.0,26,32,12,-6,65.5,116.0,26.5,0,7,-7,2,0,0.0,0.773
FiNESSE,NRG,Fracture,0.734,156.8,52,78,25,-26,66.0,114.2,19.4,6,13,-7,5,2,0.4,0.761
mwzera,FUR,Fracture,0.76,141.0,10,14,6,-4,65.0,80.0,19.0,3,3,0,1,0,0.0,0.751
heat,FUR,Fracture,0.63,143.5,19,27,6,-8,73.0,98.5,38.5,2,4,-2,2,0,0.0,0.743
pryze,FUR,Fracture,0.77,120.0,7,13,3,-6,47.0,94.0,40.0,0,1,-1,1,0,0.0,0.694
bang,100T,Fracture,0.52,122.0,6,16,7,-10,56.0,78.0,31.0,2,1,1,1,0,0.0,0.673
havoc,FUR,Fracture,0.505,155.0,19,32,7,-13,52.5,109.5,19.5,5,10,-5,2,0,0.0,0.649
raafa,FUR,Fracture,0.54,122.5,16,28,8,-12,60.0,72.5,22.0,1,6,-5,2,0,0.0,0.628
OXY,C9,Haven,1.272,276.5,213,153,26,60,74.3,162.8,30.2,54,33,21,10,7,0.7,1.291
Rossy,ENVY,Haven,1.3,249.0,18,14,7,4,80.0,157.0,31.0,1,0,1,1,0,0.0,1.29
bdog,FUR,Haven,1.33,244.0,16,13,9,3,75.0,153.0,34.0,2,0,2,1,1,1.0,1.281
valyn,G2,Haven,1.277,241.5,191,141,81,50,81.0,152.3,25.5,24,11,13,11,9,0.82,1.271
Khalil,FUR,Haven,1.28,215.0,18,12,4,6,86.0,137.0,42.0,1,0,1,1,0,0.0,1.267
Sato,LEV,Haven,1.244,269.2,113,83,23,30,74.6,173.0,34.6,20,20,0,5,4,0.8,1.264
Darker,LOUD,Haven,1.147,266.7,54,47,16,7,72.7,166.3,29.7,7,4,3,3,0,0.0,1.243
mada,NRG,Haven,1.251,244.4,172,121,22,51,71.6,153.0,28.8,40,28,12,9,5,0.56,1.243
N4RRATE,SEN,Haven,1.225,233.5,122,99,55,23,74.5,158.9,27.8,19,11,8,8,5,0.62,1.238
alym,FUR,Haven,1.21,238.0,19,17,6,2,75.0,155.0,27.0,5,3,2,1,1,1.0,1.235
keiko,NRG,Haven,1.36,198.0,29,20,12,9,73.5,138.5,45.5,2,2,0,2,2,1.0,1.222
trent,G2,Haven,1.329,218.4,175,122,70,53,78.1,147.6,25.5,13,16,-3,11,9,0.82,1.219
C0M,EG,Haven,1.196,210.3,150,114,68,36,78.8,143.6,30.6,17,11,6,9,6,0.67,1.213
Cryocells,100T,Haven,1.165,228.3,175,139,59,36,75.3,152.7,33.5,22,20,2,10,5,0.5,1.203
eeiu,FUR,Haven,1.221,212.4,143,118,47,25,73.8,146.8,31.0,7,6,1,9,5,0.56,1.193
dgzin,EG,Haven,1.12,232.9,121,93,16,28,70.7,149.3,21.1,34,24,10,7,3,0.43,1.181
Add3r,FUR,Haven,1.18,235.0,18,14,0,4,75.0,148.0,34.0,1,2,-1,1,1,1.0,1.174
bang,100T,Haven,1.214,213.8,155,119,81,36,77.1,132.1,36.4,17,21,-4,10,6,0.6,1.168
penny,C9,Haven,1.103,199.3,45,38,15,7,78.3,125.3,23.3,9,6,3,3,3,1.0,1.154
skuba,NRG,Haven,1.162,189.3,88,69,20,19,77.3,134.8,28.0,7,8,-1,6,4,0.67,1.14
lukxo,LOUD,Haven,0.979,228.3,104,97,20,7,69.0,149.4,30.7,21,15,6,7,1,0.14,1.139
Melser,KRÜ,Haven,1.117,196.7,136,115,72,21,78.0,120.9,30.1,15,14,1,9,0,0.0,1.138
nataNk,LEV,Haven,1.12,192.0,13,12,14,1,81.0,113.0,23.0,2,2,0,1,1,1.0,1.126
BABYBAY,G2,Haven,1.08,196.0,48,41,27,7,81.2,126.5,20.0,9,9,0,4,4,1.0,1.125
keznit,ENVY,Haven,1.089,217.3,143,131,41,12,74.1,143.4,30.6,27,32,-5,9,0,0.0,1.123
johnqt,SEN,Haven,1.209,184.6,104,83,75,21,76.6,122.4,24.8,5,9,-4,8,5,0.62,1.119
xenom,MIBR,Haven,1.02,191.4,75,71,47,4,79.2,128.4,33.4,7,5,2,5,3,0.6,1.116
v1c,C9,Haven,1.043,186.3,141,133,86,8,77.6,124.7,32.4,16,14,2,10,7,0.7,1.101
cortezia,SEN,Haven,1.002,192.0,83,75,16,8,69.4,127.0,35.2,11,10,1,5,3,0.6,1.09
stellar,FUR,Haven,1.13,193.0,14,12,5,2,70.0,143.0,16.0,3,4,-1,1,1,1.0,1.09
mwzera,FUR,Haven,1.06,220.0,16,15,6,1,71.0,138.0,13.0,1,2,-1,1,0,0.0,1.085
JonahP,G2,Haven,1.095,189.7,129,125,93,4,74.9,120.7,19.8,20,13,7,10,8,0.8,1.082
zekken,MIBR,Haven,1.031,205.5,153,143,54,10,73.5,129.1,28.1,29,37,-8,11,5,0.45,1.074
yay,EG,Haven,0.966,214.4,79,77,8,2,65.4,143.4,30.8,19,18,1,5,1,0.2,1.05
brawk,NRG,Haven,1.052,193.2,109,109,49,0,75.0,130.1,18.4,14,8,6,8,4,0.5,1.048
Ethan,NRG,Haven,1.054,204.9,130,131,79,-1,76.9,133.7,25.3,19,20,-1,9,5,0.56,1.034
aspas,MIBR,Haven,0.942,195.4,117,115,27,2,70.2,127.9,27.9,33,25,8,8,3,0.38,1.03
Xeppaa,C9,Haven,0.995,198.8,147,150,64,-3,78.9,131.2,23.0,12,9,3,10,7,0.7,1.019
jawgemo,G2,Haven,0.955,195.5,153,151,46,2,74.9,126.0,19.7,34,34,0,11,9,0.82,1.007
Derrek,EG,Haven,1.018,195.0,65,74,31,-9,74.6,142.2,33.2,8,3,5,5,1,0.2,0.987
Timotino,100T,Haven,0.89,227.5,35,36,10,-1,63.5,145.5,38.5,9,7,2,2,1,0.5,0.987
Shyy,KRÜ,Haven,1.011,185.1,119,125,51,-6,74.7,125.2,28.4,14,8,6,9,0,0.0,0.984
havoc,FUR,Haven,0.89,211.0,14,19,7,-5,86.0,139.0,27.0,5,3,2,1,0,0.0,0.983
s0m,NRG,Haven,1.021,189.7,99,100,71,-1,73.9,127.7,30.6,10,16,-6,7,3,0.43,0.982
artzin,FUR,Haven,1.002,200.3,89,92,58,-3,72.7,137.0,24.7,14,16,-2,6,4,0.67,0.965
Verno,MIBR,Haven,0.979,174.7,118,118,41,0,75.4,118.4,25.0,9,13,-4,9,4,0.44,0.963
leaf,G2,Haven,0.952,205.2,111,121,51,-10,69.5,141.0,22.5,21,12,9,8,6,0.75,0.95
kiNgg,LEV,Haven,1.033,179.7,98,102,73,-4,73.7,115.1,27.3,12,14,-2,7,5,0.71,0.943
NaturE,EG,Haven,0.99,206.8,69,80,53,-11,75.0,133.0,28.8,1,7,-6,5,1,0.2,0.927
nerve,FUR,Haven,1.01,171.0,14,17,6,-3,71.0,115.0,15.0,3,0,3,1,1,1.0,0.916
Demon1,ENVY,Haven,0.83,207.0,29,34,4,-5,63.5,137.0,34.0,8,6,2,2,1,0.5,0.905
Mazino,MIBR,Haven,0.917,189.7,159,181,79,-22,68.9,128.7,23.8,20,18,2,12,0,0.0,0.9
bao,EG,Haven,0.845,165.0,24,26,9,-2,75.5,115.5,28.5,2,1,1,2,1,0.5,0.887
silentzz,2G,Haven,0.846,214.8,71,82,11,-11,63.4,142.8,46.4,13,15,-2,5,0,0.0,0.884
Dantedeu5,KRÜ,Haven,0.94,191.8,71,75,33,-4,67.2,120.4,21.6,15,19,-4,5,0,0.0,0.877
spike,LEV,Haven,0.845,211.0,26,29,3,-3,54.5,138.0,44.0,7,7,0,2,0,0.0,0.871
Okeanos,EG,Haven,0.903,187.6,105,112,38,-7,70.4,123.3,29.1,13,18,-5,7,5,0.71,0.866
gobera,2G,Haven,0.848,189.6,64,77,14,-13,55.0,126.2,32.8,11,6,5,5,0,0.0,0.864
supamen,EG,Haven,0.904,184.7,95,107,42,-12,69.3,120.9,35.4,10,16,-6,7,2,0.29,0.864
zander,100T,Haven,0.931,180.2,108,116,76,-8,72.9,114.5,22.9,17,21,-4,8,4,0.5,0.862
pANcada,LOUD,Haven,0.848,171.3,116,139,44,-23,70.3,116.2,37.6,9,12,-3,10,2,0.2,0.847
Zellsis,C9,Haven,0.892,181.0,123,137,34,-14,66.3,122.5,24.4,20,24,-4,10,7,0.7,0.846
mitch,C9,Haven,0.909,172.5,92,113,86,-21,73.0,117.1,16.0,5,17,-12,8,5,0.62,0.844
koalanoob,FUR,Haven,0.85,187.0,16,18,7,-2,67.0,111.0,38.0,3,6,-3,1,1,1.0,0.837
tex,MIBR,Haven,0.841,167.4,125,149,41,-24,70.9,107.7,31.5,19,22,-3,10,5,0.5,0.832
vora,100T,Haven,0.855,156.5,23,30,12,-7,72.0,104.0,35.0,2,3,-1,2,1,0.5,0.821
neT,C9,Haven,0.861,155.6,97,110,36,-13,71.8,103.2,29.0,12,20,-8,8,5,0.62,0.816
Askia,2G,Haven,0.76,167.0,26,33,5,-7,55.0,120.0,29.5,5,4,1,2,0,0.0,0.811
jakee,FUR,Haven,0.77,162.0,10,16,10,-6,75.0,111.0,26.0,0,3,-3,1,1,1.0,0.805
cauanzin,LOUD,Haven,0.799,168.8,113,140,35,-27,65.7,116.4,27.7,13,17,-4,10,2,0.2,0.804
Palla,FUR,Haven,0.75,178.0,11,16,2,-5,56.0,124.0,36.0,2,2,0,1,0,0.0,0.803
Kess,100T,Haven,0.83,166.0,40,48,9,-8,61.3,104.3,38.0,5,6,-1,3,1,0.33,0.802
adverso,KRÜ,Haven,0.782,153.0,51,70,24,-19,72.6,106.4,19.8,5,6,-1,5,0,0.0,0.8
Asuna,100T,Haven,0.81,164.6,115,152,55,-37,67.7,107.5,22.4,26,33,-7,10,5,0.5,0.793
Zap,2G,Haven,0.83,157.5,26,30,9,-4,70.0,105.5,14.5,0,4,-4,2,0,0.0,0.789
tuyz,LOUD,Haven,0.766,144.0,49,66,29,-17,69.0,99.0,38.6,7,8,-1,5,1,0.2,0.789
heat,FUR,Haven,0.75,163.5,24,32,4,-8,54.0,107.0,41.5,3,8,-5,2,0,0.0,0.752
icy,EG,Haven,0.682,147.0,55,80,15,-25,61.8,95.6,36.6,12,12,0,5,1,0.2,0.752
Virtyy,LOUD,Haven,0.672,171.2,59,80,17,-21,60.4,105.8,27.8,13,18,-5,5,0,0.0,0.74
raafa,FUR,Haven,0.74,150.0,11,16,5,-5,57.0,111.0,23.0,0,2,-2,1,0,0.0,0.734
lz,2G,Haven,0.696,136.2,44,73,41,-29,63.0,89.8,41.4,6,12,-6,5,0,0.0,0.725
v1nny,LOUD,Haven,0.663,130.8,36,54,30,-18,72.0,85.8,32.8,3,5,-2,4,2,0.5,0.725
RobbieBk,LOUD,Haven,0.62,137.0,18,29,8,-11,53.5,104.5,36.5,0,3,-3,2,0,0.0,0.684
PxS,LEV,Haven,0.52,127.0,7,15,1,-8,53.0,81.0,44.0,2,1,1,1,0,0.0,0.682
Boostio,100T,Haven,0.564,133.2,46,80,16,-34,58.0,88.8,37.0,7,12,-5,5,3,0.6,0.665
pryze,2G,Haven,0.537,115.7,18,45,14,-27,56.7,87.0,17.0,2,1,1,3,0,0.0,0.66
FiNESSE,NRG,Haven,0.537,112.7,21,49,24,-28,56.3,78.3,11.7,3,10,-7,3,1,0.33,0.602
