URL,Mapa,Time1,Mapas_T1,Score_T1,Time2,Mapas_T2,Score_T2,Vencedor
https://www.vlr.gg/221179/night-wings-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r2,Haven,Night Wings Gaming,,10,Douyu Gaming,,13,Douyu Gaming
https://www.vlr.gg/221179/night-wings-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r2,Ascent,Night Wings Gaming,,5,Douyu Gaming,,13,Douyu Gaming
https://www.vlr.gg/221179/night-wings-gaming-vs-douyu-gaming-valorant-champions-2023-china-qualifier-r2,AllMaps,Night Wings Gaming,0,15,Douyu Gaming,2,26,Douyu Gaming
https://www.vlr.gg/221178/nova-esports-vs-tyloo-valorant-champions-2023-china-qualifier-r2,Split,Nova Esports,,7,TYLOO,,13,TYLOO
https://www.vlr.gg/221178/nova-esports-vs-tyloo-valorant-champions-2023-china-qualifier-r2,Bind,Nova Esports,,5,TYLOO,,13,TYLOO
https://www.vlr.gg/221178/nova-esports-vs-tyloo-valorant-champions-2023-china-qualifier-r2,AllMaps,Nova Esports,0,12,TYLOO,2,26,TYLOO
https://www.vlr.gg/221181/number-one-player-vs-kingzone-valorant-champions-2023-china-qualifier-r2,Lotus,Number One Player,,13,Kingzone,,7,Number One Player
https://www.vlr.gg/221181/number-one-player-vs-kingzone-valorant-champions-2023-china-qualifier-r2,Fracture,Number One Player,,14,Kingzone,,12,Number One Player
https://www.vlr.gg/221181/number-one-player-vs-kingzone-valorant-champions-2023-china-qualifier-r2,AllMaps,Number One Player,2,27,Kingzone,0,19,Number One Player
https://www.vlr.gg/221180/gank-gaming-vs-invincible-gaming-valorant-champions-2023-china-qualifier-r2,Lotus,Gank Gaming,,16,Invincible Gaming,,14,Gank Gaming
https://www.vlr.gg/221180/gank-gaming-vs-invincible-gaming-valorant-champions-2023-china-qualifier-r2,Split,Gank Gaming,,13,Invincible Gaming,,4,Gank Gaming
https://www.vlr.gg/221180/gank-gaming-vs-invincible-gaming-valorant-champions-2023-china-qualifier-r2,AllMaps,Gank Gaming,2,29,Invincible Gaming,0,18,Gank Gaming
